藍水晶|對異星戰士(沒星星)|發動大幅力量中！|
紅水晶|對異星戰士(沒星星)|發動大幅力量中！|
古代石版|城堡體力|大幅提升中！|
未知的力量|貓咪砲的充電速度|大幅提升中！(有上限)|
宇宙能量|貓咪砲的攻擊力|大幅提升中！|
暗黑果實|對黑色敵人|發動特殊能力效果中！|
紅血果實|對紅色敵人|發動特殊能力效果中！|
飛翔果實|對飄浮敵人|發動特殊能力效果中！|
天界果實|對天使敵人|發動特殊能力效果中！|
時光機|統率力|回復速度提升中！|
未來科技|統率力|最大值提升中！|
？？？|尚未收集滿|可發動的寶物|
？？？|全部收集滿可大幅增強|對異星戰士的能力！|
？？？|全部收集滿可大幅增強|對異星戰士的能力！|
？？？|全部收集滿可大幅增強|城堡的體力！|
？？？|全部收集滿貓咪砲的|充電時間可大幅縮短！|
？？？|全部收集滿貓咪砲的|攻擊力可大幅增加！|
？？？|全部收集滿對黑色敵人|的特殊能力可大幅提升！|
？？？|全部收集滿對紅色敵人|的特殊能力可大幅提升！|
？？？|全部收集滿對飄浮敵人|的特殊能力可大幅提升！|
？？？|全部收集滿對天使敵人|的特殊能力可大幅提升！|
？？？|全部收集滿|統率力回復速度可大幅提升！|
？？？|全部收集滿|統率力可提升至最大值！|
