第1天簽到章獎勵！<br>恭喜獲得「加速＋2」！！	第1天
第2天簽到章獎勵！<br>恭喜獲得「土豪貓＋2」！！	第2天
第3天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第3天
第4天簽到章獎勵！<br>恭喜獲得「貓型電腦＋2」！！	第4天
第5天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第5天
第6天簽到章獎勵！<br>恭喜獲得「貓罐頭＋50」！！	第6天
第7天簽到章獎勵！<br>恭喜獲得「寶物雷達＋1」！！	第7天
第8天簽到章獎勵！<br>恭喜獲得「狙擊手＋3」！！	第8天
第9天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第9天
第10天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第10天
第11天簽到章獎勵！<br>恭喜獲得「洞悉先機＋2」！！	第11天
第12天簽到章獎勵！<br>恭喜獲得「貓罐頭＋50」！！	第12天
第13天簽到章獎勵！<br>恭喜獲得「土豪貓＋3」！！	第13天
第14天簽到章獎勵！<br>恭喜獲得「貓型電腦＋3」！！	第14天
第15天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第15天
第16天簽到章獎勵！<br>恭喜獲得「寶物雷達＋1」！！	第16天
第17天簽到章獎勵！<br>恭喜獲得「洞悉先機＋3」！！	第17天
第18天簽到章獎勵！<br>恭喜獲得「貓罐頭＋50」！！	第18天
第19天簽到章獎勵！<br>恭喜獲得「加速＋3」！！	第19天
第20天簽到章獎勵！<br>恭喜獲得「貓咪券＋3」！！	第20天
第21天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第21天
