1|寶物收集完成的話<br>貓咪們的能力就會大幅提升！
1|第2章全破後<br>將能得到強力角色唷！
1|若是集滿世界篇的寶物<br>在未來篇將會很有效喔！
1|侵略全世界中！
2|突破第2章後<br>將能得到強力角色唷！
2|侵略全世界中！！
3|第2章中還有正在沉睡著<br>未被找到的寶物呀
3|第3章全破後<br>將能得到超強力的角色唷！
4|第3章全破後<br>將能得到超強力的角色唷！
4|侵略全世界中！！！
5|寶物收集完成的話<br>貓咪們的能力就會大幅提升！
5|若是集滿世界篇的寶物<br>在未來篇將會很有效喔！
5|集滿的寶物在攻略傳奇故事與<br>未來篇將會很有效喔！
5|全世界中還有正在沉睡著<br>未被找到的寶物呀
6|貓咪軍團<br>鎮壓全世界了！
6|恭喜你<br>寶物收集完成！
7|第1章中還有正在沉睡著<br>未被找到的寶物呀
8|第1章中還有正在沉睡著<br>未被找到的寶物呀
9|第1章中還有正在沉睡著<br>未被找到的寶物呀
10|寶物嘉年華<br>活動中！！
10|寶物出現率提升中！<br>現在更容易獲得喔
11|寶物嘉年華<br>活動中！！
11|寶物出現率提升中！<br>現在更容易獲得喔
12|寶物嘉年華<br>活動中！！
12|寶物出現率提升中！<br>現在更容易獲得喔
13|可以開始向未來的世界<br>前進侵略啦
13|在未來篇中將出現<br>許多強勁的敵人
13|正對未來的世界侵略中！
14|第1章中還有正在沉睡著<br>未被找到的寶物呀
14|若是集滿寶物<br>對未來的強敵將會很有效喔！
15|未來篇第２章全破後<br>會增加新的貓咪聯組！
15|第1章中還有正在沉睡著<br>未被找到的寶物呀
16|未來篇第3章全破後<br>就能獲得強力角色！
16|目標第3章破關！
16|第2章中還有正在沉睡著<br>未被找到的寶物呀
17|未來篇第3章全破後<br>會增加新的貓咪聯組！
17|收集所有寶物<br>目標第3章破關！
18|未來的世界中還有正在沉睡著<br>未被找到的寶物呀
18|恭喜你！<br>突破了未來篇第3章！
19|貓咪軍團<br>鎮壓全未來世界了！
19|恭喜你<br>寶物收集完成！
20|活動關卡出現中！
21|游擊關卡<br>只有現在出現中！
22|期間限定合作關卡<br>出現中喵～！
23|特別關卡<br>期間限定出現中！
24|統率力1/2活動<br>在第1章進行中！
24|所需統率力只有現在減半！<br>在第1章進行中喵～！
25|統率力1/2活動<br>在第2章進行中！
25|所需統率力只有現在減半！<br>在第2章進行中喵～！
26|統率力1/2活動<br>在第3章進行中！
26|所需統率力只有現在減半！<br>在第3章進行中喵～！
27|統率力1/2活動<br>在第1章與第2章進行中！
27|所需統率力只有現在減半！<br>在第1章與第2章進行中喵～！
28|統率力1/2活動<br>在第1章與第3章進行中！
28|所需統率力只有現在減半！<br>在第1章與第3章進行中喵～！
29|統率力1/2活動<br>在第2章與第3章進行中！
29|所需統率力只有現在減半！<br>在第2章與第3章進行中喵～！
30|統率力1/2活動<br>進行中！
30|所需統率力只有現在減半！<br>在全章進行中喵～！
31|統率力1/2活動<br>在第1章進行中！
31|所需統率力只有現在減半！<br>在第1章進行中喵～！
32|統率力1/2活動<br>在第2章進行中！
32|所需統率力只有現在減半！<br>在第2章進行中喵～！
33|統率力1/2活動<br>在第3章進行中！
33|所需統率力只有現在減半！<br>在第3章進行中喵～！
34|統率力1/2活動<br>在第1章與第2章進行中！
34|所需統率力只有現在減半！<br>在第1章與第2章進行中喵～！
35|統率力1/2活動<br>在第1章與第3章進行中！
35|所需統率力只有現在減半！<br>在第1章與第3章進行中喵～！
36|統率力1/2活動<br>在第2章與第3章進行中！
36|所需統率力只有現在減半！<br>在第2章與第3章進行中喵～！
37|統率力1/2活動<br>進行中！
37|所需統率力只有現在減半！<br>在全章進行中喵～！
38|統率力1/2活動<br>在特定關卡進行中！
39|第1章不死生物侵襲中！<br>
40|第2章不死生物侵襲中！<br>
41|第3章不死生物侵襲中！<br>
42|第1章與第2章<br>不死生物侵襲中！
43|第1章與第3章<br>不死生物侵襲中！
44|第2章與第3章<br>不死生物侵襲中！
45|不死生物全面侵襲中！<br>
46|排行賽活動<br>進行中！
47|排行賽結束！！<br>計算排行中！
48|排行結果發表！<br>
49|終於可以開始向宇宙<br>前進侵略啦
49|在宇宙篇中將出現<br>許多強勁的敵人
49|正對宇宙侵略中！
50|恭喜你！<br>突破了宇宙篇第1章！
50|第1章中還有正在沉睡著<br>未被找到的寶物呀
