%s|Un adorable shiba, ennemi des Battle Cats.|Essaie d’entrer à l’université cette année.|Très attentionné, il envoie tous les ans|des cartes d’anniversaire aux Chats.|
%s|Se peint le corps à l’aquarelle.|Par conséquent, il est sensible à l’eau...|Cette information n’a rien à voir|avec le contenu du jeu.|
%s|Des petits bonhommes qui aiment la bagarre.|Ils se sont rencontrés sur Internet.|Étonnamment,|ils sont tous pleins aux as.|
%s|Ce dangereux hippo a foi en|sa résistance et en sa puissance.|Il (elle ?) possède une compétence d’attaque multiple.|On ignore si c’est un mâle ou une femelle.|
%s (Rouge)|Adore aller faire des UV,|ce qui explique son teint.|Elle est née dans une ferme biologique en plein air.|Le savais-tu ? Les porcs aiment la propreté !|
%s|Adore les films de kung-fu|et aimerait percer à Hollywood.|A appris le kung-fu en autodidacte.||
%s|Sa mine patibulaire lui a valu|d’être renvoyé du zoo.|N’ayant ni diplômes ni travail,|il s’est tourné vers l’alcool et les jeux d’argent.|
%s|Un nom bébête. Un style bébête...|A un complexe d’infériorité dont il essaie|de se débarrasser en suivant|des cours de théâtre.|
%s (Rouge)|A quitté la tranquillité du littoral|pour l’effervescence de la ville.|Pour attirer l’attention, il s’est|peint en rouge.|
%s|A une portée ridiculement élevée.|Il aime les femmes aux formes (très) voluptueuses.|Il collectionne les magazines...|d’un certain genre.|
%s|A toujours rêvé d’être un boxeur.|Il n’y est jamais parvenu étant donné qu’il est...|un kangourou, tout simplement.|C’est la vie !|
%s (Rouge)|Il aime aider les autres.|Il travaille à mi-temps dans une caserne de pompiers.|Mais comme il est lent,|il n’arrive jamais sur les lieux d’un incendie à temps.|
%s|Un enseignant de maternelle. Il ADORE les enfants.|Ses griffes ne font pas bon ménage avec sa profession.|N’est pas de la famille de l’autre ours.|Personne ne connaît son vrai nom.|
%s|Sauvé par Dundee !|Amateur de cours par correspondance.|Il a obtenu plusieurs qualifications, notamment|une certification en Traitement de texte niveau 2.|
%s (Rouge)|A quitté une grande entreprise.|Maintenant, il en gère pas moins de 4 !|Aspire à devenir maire, un de ces jours.||
%s|Parle un dialecte francophone ancien (?).|Ça ressemble au français, mais ce qu’il raconte|est quasi incompréhensible.|Il travaille à l’école française près de la gare.|
%s (Noir)|Permis de tuer.|La crise économique mondiale ne joue pas en sa faveur,|cela dit. Cf sa carte de visite.|Il demande un million par tête, maintenant !|
%s (Rouge/Flottant)|Timide maladif.|Chante à ses heures perdues, mais toujours|en cachette.|Ça compte, le miroir ? Adepte du karaoké en solitaire.|
%s (Flottant)|À force de faire des régimes, son corps a disparu.|Personne ne sait pourquoi il flotte.|Personne, vraiment ?|(N’essaie pas ça chez toi !)|
|||||
|||||
%s|Son schéma familial : un père,|une mère, un frère et un « tonton ».|Voudrait se marier le plus vite possible.|Apparaît quand tu n’es pas assez rapide.|
%s (Flottant)|Il pensait pouvoir devenir|un joli papillon plus tard.|Il a découvert la vérité et depuis,|il en veut à la Terre entière.|
%s (Rouge)|Furieux de ne pas pouvoir boire|de boissons alcoolisées.|Fait semblant de boire quand même.|Son verre est rempli de gelée au café...|
%s (Flottant)|Ancien maître de Professeur Ours.|Son châtiment corporel ? L’amour.|Il ne faut pas réfléchir, mais ressentir !||
|||||
|||||
|||||
|||||
|||||
|||||
%s|Il en connaît, des histoires d’adultes !|Au collège, ses amis l’admirent|et l’appellent « Maître ».|Il n’a jamais eu de rendez-vous galant...|
%s|Sa récente chute de poils le tracasse.|Oui, son nom ressemble étonnamment|à son espèce, à trois lettres près.|Peut effectuer des attaques critiques, parfois.|
%s|Il frappe ses ennemis de son roc,|ce qui lui a valu ce surnom.|A toujours l’artéfact de sa famille sur lui.|C’est un gros caillou, quoi...|
%s|Un koala très excentrique.|Renvoyé du zoo car il coûte trop cher en nourriture.|Alors il vit aux crochets de Gory...|qui est sur le point de le mettre à la porte, lui aussi !|
%s|Née en Arabie, adore aller au sauna.|Sa capacité spéciale ? Boucher ses narines.|Étant donné qu’elle n’a pas d’amis,|elle ignore que tous les dromadaires savent faire ça.|
%s|Passionné d’étymologie.|Il rédige un essai sur l’origine|de l’orthographe de son nom.|Vivement qu’il soit publié...|
%s (Flottant)|Ne fait pas son âge (78 ans !).|Son médecin lui dit de marcher davantage.|Se plaint d’être considéré comme un|flottant alors qu’il ne fait que marcher.|
%s (Rouge)|A toujours cru que son nom|était bien orthographié.|Est devenu écarlate après s’être présenté.|Je suis un Sangrillé.|
%s|Le plus effrayant de tous les animaux|est enfin descendu de son arbre.|Mais c’est trop dur de se déplacer,|il veut déjà faire demi-tour !|
%s|Toujours déprimé quand vient Noël.|En plus, il déteste les rouges.|Ne cherche pas à savoir pourquoi.|Laisse-le tranquille.|
%s|Essaie tant bien que mal d’être humain.|Il ne fait que donner la patte, tourner|sur lui-même et aboyer.|Donne-lui à manger quand il fait ça.|
%s|Une étudiante qui aime bavarder|avec ses copines tous les après-midis|dans des salons de thé de luxe.|Ses « amis » la détestent secrètement.|
%s|Bave énormément et fait les poubelles.|Tout le temps seule. Dit toujours non.|Personne ne s’approche d’elle.|Ça fait presque de la peine.|
%s|Peut effectuer des vagues offensives.|A récemment quitté la police.|(En fait, les bergers allemands lui ont piqué son boulot.)|On raconte qu’il fréquente Caniche starlette.|
%s|Sa cavalière, qui à ce qu’on dit vient de la banlieue,|est allée dans un refuge pour adopter un chien abandonné...|Et a craqué pour une race inattendue !||
%s (Noir)|Un jour, Toutou est tombé sur une offre d’emploi|et est devenu tueur... à temps partiel !|Il travaille très dur sans relâche|pour pouvoir être accepté en prépa.|
%s (Métal)|Une mystérieuse organisation a réalisé une expérience|sur Hippo pour que son corps soit métallique.|Il a l’air d’être sensible aux attaques critiques.||
%s (Rouge)|Une ancêtre de Porca.|Deuxième reine du royaume porcin.|Dans quelques jours, elle deviendra du bacon bio,|mais elle ne le sait pas encore.|
%s (Rouge/Flottant)|Un auteur à succès. A eu une grande influence sur|le professeur Bun Bun. Ses œuvres les plus connues|sont « Châtiment et préjugés » (1868)|et « Les Pénitents » (1875).|
%s(Flottant/Noir)|L’AMOUR MÈNE AUX PORTES DU PARADIS #AMOUR|C’est ce qu’il dit à ceux qu’il frappe.|On raconte que ses victimes voient vraiment l’au-delà.|Enfin, on ne peut pas en être sûr tant que...|
%s (Noir)|Gory a enfin trouvé du travail !|Laissant derrière lui son ancienne vie,|il a hâte que sa famille|revienne vivre avec lui.|
%s (Noir)|« Prépare-toi à sombrer. » - Sombrourou|Il sort toujours des répliques kitsch.|C’est un peu triste pour le bébé kangourou|dans sa poche qui doit supporter tout ça.|
%s (Noir)|Un réalisateur raté qui échoue|à copier son célèbre presque homonyme.|Ses œuvres font des bides|mais il est connu pour ses scènes salaces.|
%s (Métal)|Un Hippo métal qui a piraté le logiciel de partage|de fichiers et attiré un cheval de Troie...|Il est devenu incontrôlable !|Il a l’air d’être sensible aux attaques critiques.|
|||||
%s (Métal)|Un Monocorne qui a subi une transformation cybernétique.|Il peut capter les transmissions radio et se mettre|en route presque instantanément.|Mais il n’arrive jamais à temps...|
%s (Métal)|Professeur Ours a reçu des implants cybernétiques|expérimentaux pour enseigner avec force et efficacité.|Ses cours étaient trop compliqués à suivre, alors il a dû|trouver un autre travail dans l’enseignement professionnel.|
%s (Métal)|Relique de l’ultime guerre de l’humanité, ce cyborg|réduit ses ennemis en poussière par la seule force|de sa mâchoire. Il semble flotter mais une douzaine de|jambes plasma invisibles à l’œil nu le supportent.|
%s (Métal)|Un phoque venu en ville|pour devenir une star.|Pour attirer l’attention, il s’est|métamorphosé en cyborg.|
|||||
|||||
|||||
|||||
%s (Rouge/Flottant)|Le souffle impitoyable du vent|balaie les curieux.|Si seulement on pouvait l’arrêter ou l’étourdir...|par une contre-attaque !|
|||||
|||||
|||||
|||||
%s (Flottant)|Attaque sans relâche tout en se déplaçant.|Une tornade imparable !|A l’air de beaucoup attirer l’attention.|Ou plutôt, d’attirer tout court.|
%s (Flottant/Noir)|Attaque sans relâche tout en se déplaçant.|Une tornade imparable !|Repousse fortement.|Ou plutôt, aspire fortement ?|
%s (Métal)|Attaque sans relâche tout en se déplaçant.|Une tornade imparable !|Un maelström d’épines métalliques volantes.|Son corps lourd l’empêche de flotter.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Ange)|Un être courroucé qui balaie le mal|de sa force cyclonique.|Attention, les anges sont insensibles|aux attaques anti-flottants !|
%s (Ange)|Un Hippo qui rêvait d’une auréole.|Il a coiffé ses poils en forme d’ailes...|et on dirait Pégase.|On est d’accord ?|
%s (Ange)|Arrière-arrière-grand-père du clan des Toutous.|Veille à ce que ses descendants suivent les cours.|S’ils s’assoupissent en classe, il les rappelle à l’ordre|d’un seul coup de dents !|
%s (Ange)|Chassé du paradis|en raison de sa mine patibulaire.|Un ange déchu vieux jeu qui passe son temps|à tourner autour des machines à sous.|
%s|A dépensé toutes ses économies en accessoires angéliques.|A découvert que les anges n’étaient pas des|flottants après avoir ouvert des Chapsules rares|à la chaîne.|
%s|Un Toutou qui a tout piqué|au Chat mur.|Il ne pensait que les autres Toutous se serviraient|de lui pour remplacer leurs dominos manquants !|
%s (Rouge)|Sa carnation a fait l’objet d’une thèse|portant sur les soins cutanés chez les reptiles.|Se peint toujours le corps à l’aquarelle, et cette|information n’a toujours rien à voir avec le contenu du jeu.|
%s (Ange)|Un poisson-lune nommé Gégé. Et alors ?|Il ressemble tellement à un bombardier furtif|que les radars ne le détectent pas.|C’est comme ça qu’il est entré au paradis.|
|||||
|||||
|||||
%s (Flottant)|N’a jamais peur d’aller en première ligne|pour défendre ses idéaux pacifistes.|Il frappe les envahisseurs félins|de son bec aiguisé, en toute diplomatie bien sûr.|
%s (Noir)|Porte l’arme ultime des siens : le « gros caillou »,|ou le cauchemar des palourdes.|En fait, c’est un noyau de prune, mais pas un mot,|ou elle va sortir de ses gonds !|
%s (Ange)|Cheval fabuleux à huit jambes de la mythologie nordique.|Presque tout son salaire part dans l’achat de chaussures,|alors il passe généralement ses week-ends|chez lui à jardiner.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s|Critique ses camarades sur son blog intitulé|« En toute franchise ».|Il a fait le buzz et depuis, plus personne|ne veut lui parler. Internet se souvient de tout !|
%s (Métal)|Alors qu’il sortait de l’école,|un gigantesque disque argenté est apparu dans le ciel.|Ensuite, c’est le trou noir !|Maintenant, il ne porte que des combinaisons argentées.|
%s (Rouge)|Une anomalie quantique l’a rajeuni.|Il prend les gens au dépourvu quand il pleure|pour avoir des bonbons, mais il paie quand même|sa place de ciné plein tarif.|
%s (Noir)|Ce pachyderme noir comme l’ébène est un grand|collectionneur de films pour adultes.|Inquiet que l’on découvre sa passion, il frappe|quiconque s’approche trop près de sa collection.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Ange)|Une nouvelle venue qui met du cœur à l’ouvrage en son|deuxième jour de travail céleste. Son ami Kanar commence à|en avoir marre de l’entendre se vanter|d’avoir un super appart’ au paradis.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Alien)|Un adorable Toutou génétiquement modifié par|les envahisseurs pour être un agent de terrain ultime.|Il dit toujours « Nous », alors qu’il ne pense qu’à lui.|D’où les bagarres avec ses camarades de chambre.|
%s (Alien)|A vaincu son problème de vue et a obtenu un diplôme|en décoration d’intérieur. Sa philosophie : « Le minimalisme|au maximum ». En fait, il peint tout en bleu|et est en congé tout le reste de la semaine.|
%s (Alien)|Cet hippo se fait enlever par des extraterrestres une fois|par mois. Traumatisé par la protubérance sur sa tête,|sa peau est devenue bleue comme son cœur|et il a dû changer de nom.|
%s (Alien)|Un morse seigneur de la guerre venu de l’espace|pour combattre les phoques rouges sur Terre.|N’a pas de mains, mais essaie quand même d’en serrer|en signe de politesse.|
%s (Alien/Flottant)|Une icône pop de la planète des insectes, connue pour|ses tenues sexy et colorées. Ses fans se sont rassemblés|en masse pour sa « tournée terrienne », mais aucun humain|n’a survécu. Peut immobiliser les Chats.|
%s (Alien)|Ses yeux sont tellement grands qu’on se perdrait dedans.|Le soleil l’éblouit trop, alors il ne sort pas|avant la nuit tombée. Il porte des lentilles spéciales|qui affaiblissent la puissance d'attaque des Chats.|
%s (Alien)|A souscrit un prêt sur 45 ans pour un abri durable|capable de cacher sa protubérance dorsale. Il passe|ses week-ends à visiter des maisons à vendre.|Peut survivre à 1 frappe fatale.|
%s (Alien/Flottant)|Vient de Face Force 5.|Il devait protéger la Terre, mais il est devenu fou après un|dîner où ses amis l’ont ignoré toute la soirée, le nez collé|à leurs smartphones. Peut immobiliser les Chats.|
%s (Alien)|Visitait la Terre en croisière, mais s’est éloignée du groupe|qui est parti sans elle. Elle travaille à la NASA dans|l’espoir de monter à bord d’une fusée en toute discrétion.|Plus elle subit de dégâts, plus elle se renforce.|
%s (Alien/Flottant)|Sa mission : causer l’apocalypse et anéantir|l’humanité. Il a accidentellement atterri sur la Lune.|Depuis, il lutte contre l’ennui en creusant des cratères.|Affaiblit la puissance d'attaque des Chats.|
%s (Alien)|Sa coupe au bol l’aide à contenir la force de son|pouvoir rationnel. Il recherche un capitaine de vaisseau|fringuant pour lui apprendre à ressentir les choses.|Libère le passage avec sa logique et ses défenses.|
%s (Alien)|Descendante d’une cyberporcherie, Liz a failli|anéantir sa lignée en s’étouffant avec un champignon.|Aujourd’hui encore, elle est toute bleue.|Effectue de puissantes vagues offensives.|
%s (Alien/Flottant)|Une nébuleuse tempétueuse issue d’un trou noir|qui anéantit tout ce qui s’approche trop près.|Mieux vaut bloquer et attaquer en se protégeant !|Ses attaques se renforcent après avoir subi des dégâts.|
%s (Alien)|A le terrible pouvoir de transférer tous tes e-mails|à une autre adresse de messagerie au hasard.|C’est pour ça que jamais personne ne te répond !|Ses attaques peuvent ralentir les déplacements, parfois.|
%s (Alien/Flottant)|A reçu la lance canine Ouafnir en tant que gadget|à un enterrement de vie de jeune fille. Maintenant,|tout ce qui s’apparente aux Chats lui hérisse les poils...|Se renforce après avoir subi des dégâts.|
%s (Alien)|Ancienne championne poids léger de Gliese 832 c.|Déchue de son titre quand les juges se sont aperçus|qu’elle portait des gants non réglementaires au 4e round.|Ils lui permettent de repousser fortement ses adversaires.|
%s (Alien)|Une machine à tuer conçue dans un seul but :|empêcher la publication de photos de Chats sur Internet.|Il devait apparaître dans le chapitre 1,|mais il a raté le bus.|
%s (Alien)|Fille unique de la dynastie politique la plus puissante|du Centaure, an 1192. Belle, intelligente, pleine d’esprit...|Et pourtant, elle a épousé un chihuahua vedette|de télé-réalité. Se renforce après avoir subi des dégâts.|
%s (Rouge)|Même s’il n’est pas encore diplômé,|ses histoires d’adultes sont tellement approfondies|et documentées que ses amis l’appellent « Professeur ».|Pourtant, il n’a toujours pas eu de rendez-vous galant.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rouge)|Une culturiste brésilienne à fourrure. Elle va à la salle|de sport deux fois par jour et prend le temps de mâcher|ses aliments. Le poids de ses muscles la ralentit, mais|ses attaques critiques n’en sont pas moins efficaces...|
%s (Rouge)|Je me suis réveillé un beau matin, et un Koko|préparait un ragoût dans ma cuisine. Ayant dévalisé|mon frigo, je l’ai mis dehors mais il semblerait|que le crépuscule ait réveillé ses sombres pouvoirs enfouis.|
%s (Flottant)|Sait-il vraiment voler ? Il suit un régime sans gluten,|mais ne rate jamais une occasion d’impressionner|les poulettes avec des miettes de la boulangerie bio.|Son cerveau a la taille d’une noix, mais il fait l’affaire.|
%s (Alien/Flottant)|Son vaisseau s’est écrasé près du célèbre marché|aux poissons de Tsukiji. Ce côté translucide chic|et avant-gardiste fait sensation au port.|Affaiblit fortement les attaques ennemies.|
%s (Alien)|Camela s’est recouverte de coton pour ressembler|à un alpaga. Allergique aux fibres, elle n’arrête pas|de tousser et de cracher, mais elle est bien trop fière|pour admettre qu’elle a fait une bêtise.|
%s (Alien)|Le grand-père de Laparesse s’est offert un accès|illimité aux sources chaudes. Les vertus minérales|des eaux dans lesquelles il se prélasse l’ont doté|d’une vitesse/capacité de repousser exceptionnelles !|
%s (Alien/Flottant)|L’ADN de Bun Bun s’est couplé à celui d’un extraterrestre.|Les étudiants ont été touchés, et maintenant, toute|l’école est un vrai bouillon de culture. (Source : Hippo)|Lance occasionnellement une puissante vague d’énergie.|
%s (Alien/Flottant)|Il a enfin décoincé sa fermeture éclair, et il est maintenant|libre comme l’air ! Rien ne peut l’arrêter !|Il n’arrive pas à maîtriser ses pulsions destructrices|qui ravagent tout ce qui l’entoure.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Ange)|Cet être mystique représente le salut de l’humanité...|ou sa destruction. Mais pour l’heure, ce parent isolé|est trop occupé à surprotéger sa progéniture|avec des attaques à très longue portée.|
|||||
|||||
%s|Je cherche un adversaire de taille ! #Combatdetaupe est le|seul tweet de cet apprenti artiste martial.|Sa technique secrète, le « poing ascendant de la taupe »,|repousse les ennemis à très longue distance.|
%s (Flottant)|Une tempête de catégorie 5 qui a grossi|en aspirant de petits cyclones. Repousse les menaces|à très longue distance. Les météorologues disent que si l’on|s’approche de son œil, son recul est désactivé.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s(Ange)|Rend tout le monde fou avec ses leçons de morale.|Fais semblant d’écouter,|ou il te mettra une raclée...|Un jour, tu me remercieras !|
%s (Rouge/Noir)|Présentait autrefois un célèbre jeu télévisé.|Cet oiseau migrateur pratique désormais le golf|aux quatre coins du monde, et passe à la télé|s’il a besoin d’argent. Lance des vagues d’avidité.|
%s (Noir)|Un impitoyable lanceur semi-professionnel qui|usera de tous les moyens pour gagner.|Lance des balles non réglementaires à distance|pour intimider les autres batteurs.|
%s|Né en l’an 1196 du calendrier cosmique,|il a hérité de la couronne grâce à son service|militaire et à ses prouesses scientifiques. Agacé que|son frère, star de télé-réalité, soit plus connu que lui.|
%s|Une jeune fille de la forêt recrutée comme tueuse|par l’armée des Chiens. Redoutée par l’armée des Chats|car elle use de toutes les tactiques pour ne jamais rater|sa cible, y compris d’un bazooka à longue distance !|
|||||
|||||
%s (Ange)|Assistant d’un directeur de label très connu au paradis.|Auteur de deux tubes en tant que prête-plume :|« Miauler n’est pas pécher »|et « Processeur (Intelligence futuriste, 2e partie) ».|
|||||
|||||
|||||
|||||
%s|A pris 9 années sabbatiques avant d’oser enfin s’inscrire|à l’université. Aimerait être diplômé en physique|nucléaire pour mieux contrôler ses rayons à particules,|même si son père préférerait qu’il étudie la comptabilité.|
%s (Rouge)|Il portait un masque effrayant « juste pour rire », et il|s’est transformé en démon avide de chair fraîche. Oups !|Sa haine vengeresse l’a entièrement consumé.|On regretterait presque La Tête, hein ?|
|||||
|||||
|||||
%s (Alien/Flottant)|Une princesse en exil qui règne désormais sur les rues|malfamées de la ville. Son éducation tumultueuse a fait|d’elle une mauvaise tête. Ne t’approche pas trop près d’elle|ou tu seras victime de son dard fatal.|
%s (Flottant)|Vainqueur du Grand Prix d’Enfant terrible, terreur de l’école|maternelle. Son père lui a peut-être fait lire|les classiques russes un peu trop jeune...|Son mot préféré : amour.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Noir)|Après des années à errer dans le désert,|sa fourrure et son âme ont été assombries par|la corruption de ce monde. A été récompensé|pour sa ponctualité au travail.|
|||||
|||||
|||||
%s (Zombie)|Le défunt père de Toutou, enterré il y a longtemps.|Mais il se retourne dans sa tombe en pensant aux études|de ses enfants. Seuls d’excellents bulletins de notes|lui feront trouver le repos éternel.|
%s (Zombie)|Un animal rampant qui se maquille à l’aquarelle|pour faire peur (même s’il est déjà mort).|Sur le plan académique, il est proche des vers de terre.|Des études montrent qu'il s'agit d'une attaque à distance.|
%s (Zombie)|Errait près d’un marais empoisonné par une|nuit sinistre, et s’est réveillé(e) mort(e)-vivant(e).|Ça n’a pas l’air de le (la) déranger.|On ne sait toujours pas si c’est un mâle ou une femelle !|
%s (Zombie)|Même la mort ne pourrait empêcher cette truie royale|de renoncer au trône. Elle porte un crâne sophistiqué|à défaut d’avoir pu récupérer sa couronne.|Je ne pourris pas, je vieillis tel un bon vin.|
%s (Zombie)|Après le bide de son premier film, il ne restait plus|à Peng qu’un gros trou à la place du cœur.|Les mauvaises critiques ont causé sa perte,|et il se vengera des spectateurs ingrats !|
%s (Zombie)|Renvoyé du paradis à cause de sa mine patibulaire,|Gory erre sur Terre. Quelqu’un lui a scalpé le haut|du crâne pendant qu’il jouait au casino, pensant|que c’était une perruque. Aïe !|
%s (Zombie)|Par-delà la brume matinale, j’ai aperçu un phoque.|D’une voix d’outre-tombe, il m’a demandé de partir|avec lui au large|d’un monde mystérieux...|
%s (Zombie)|Après 50 ans passés sur le ring, son corps|n’a plus supporté les stéroïdes.|Mais ils ont continué à faire effet même après sa mort...|Preuve que rien ne peut l’empêcher de boxer !|
%s (Zombie)|Un pauvre alligator mort de faim.|Trop faible pour traverser le fleuve Styx, il est revenu|dans notre monde en tant que fantôme à moitié découpé.|On le prend parfois pour un haltère.|
%s (Zombie)|Un visiteur indésirable s’est installé dans la tombe|de Zombitou ! Comme c’est malpoli !|Qui que soit ce mystérieux cadavre,|il a quand même l’air d’être en pleine forme.|
%s (Zombie)|Les esprits de ceux que les Battle Cats ont vaincus|se sont rassemblés en une tempête vengeresse.|Comment vaincre un cyclone|déjà mort ?|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Zombie)|La femme de Zombitou devait être enterrée ici,|mais à 158 ans, elle est toujours en vie|et il semblerait que quelqu’un d’autre|ait déjà pris possession des lieux.|
%s (Zombie)|Mieux vaut ne pas déranger ce fainéant,|il démolira quiconque le réveillera de sa sieste.|Ou pire, il te bassinera avec ses histoires du temps|où il était joueur de base-ball en ligue mineure.|
|||||
|||||
|||||
|||||
%s (Zombie)|Un ancien héros de l’armée des Chiens.|Fait partie des espèces en voie d’extinction|depuis l’an dernier. Il erre telle une âme en peine...|Nom scientifique : Canis mortem Osamoellus.|
