202,205,183,1,					//下地のカラーR,G,B,点線,
8,	//A
1018,500,						//1
1204,645,						//2
1022,875,						//3
936,794,						//4
807,831,						//5
749,653,						//6
574,769,						//7
429,633,						//8
8,	//B
586,755,						//1
674,672,						//2
846,653,						//3
758,863,						//4
912,937,						//5
979,822,						//6
1150,726,						//7
1127,490,						//8
3,	//C
819,781,						//1
964,700,						//2
1059,572,						//3
1,	//D
935,690,						//1
5,	//E
942,954,						//1
723,798,						//2
916,647,						//3
1088,648,						//4
982,515,						//5
6,	//F
929,555,						//1
1129,472,						//2
1176,723,						//3
982,927,						//4
782,877,						//5
679,652,						//6
6,	//G
1018,500,						//1
1204,645,						//2
1022,875,						//3
749,653,						//4
574,769,						//5
429,633,						//6
3,	//H
819,781,						//1
804,487,						//2
1059,572,						//3
//ステージ数
//x,y,
