76,93,85,1,			//下地のカラーR,G,B,点線,
8,	//A
1183,577,				//1
1064,570,				//2
983,671,				//3
778,612,				//4
585,668,				//5
645,792,				//6
896,885,				//7
683,1014,				//8
8,	//B
581,746,				//1
616,575,				//2
761,617,				//3
965,524,				//4
1077,548,				//5
996,735,				//6
931,875,				//7
1103,963,				//8
3,	//C
709,896,				//1
932,838,				//2
1083,689,				//3
1,	//D
847,792,				//1
6,	//E
735,968,				//1
514,832,				//2
654,626,				//3
900,714,				//4
1129,605,				//5
933,520,				//6
5,	//F
933,520,				//1
1129,605,				//2
900,714,				//3
554,832,				//4
735,968,				//5
6,	//G
735,968,				//1
955,822,				//2
654,626,				//3
933,520,				//4
1209,755,				//5
1109,955,				//6
6,	//H
683,1014,				//1
1100,950,				//2
975,825,				//3
1050,670,				//4
1250,725,				//5
1150,550,				//6
//ステージ数
//x,y,
