Scuotiterra|Ritorno del terrore|Blues al tramonto|Umida malinconia|Parco dei salti|Sorriso gentile|Guardiano del ranch|Leone addormentato|＠||
Nyandalusia|Campo Paella|Flamencoscuro|Fiume Sangria|Altipiano Gazpacho|Serata churro|Giardino Osso asciutto|Deserto Tapas|＠||
Dune di condroitina|Rovine Sesamina|Antro Isoflavone|Collina Catechina|Tramonto licopene|Oasi Propoli|Distesa Peptide|Montagna Ialuronica|＠||
Lancio prematuro|Blu scuro oceano|Baia Sirena|Laguna Caos|Pirati che passione|Il dilemma del pescatore|Alghe basse|Acqua salata|＠||
Minerali adorabili|Caverne armoniose|Tunnel che attirano|Cavità spugnose|Vette gemelle|Ponte sinistro|＠||||
Alba di Gunman|Rifugio del cowboy|Notte da ricercati|Maccheronopoli|Viaggiatore errante|Guardiano deluso|Monte del cowboy|Serata rodeo|＠||
Costa Tonno rosso|Molo nuovo|Oceano blu|Acque di Carpaccio|Mar economico|Tonno da guerra|Fronte del tonno surgelato|Filetto dell'antro|＠||
Campo Spinoso|Costa bambù|Giungla serial killer|Palude disgustosa|Antro tozzo|Strada fatata|Rupe fungina|Spirito di confine|＠||
Tunnel latteo|Arma oscura coccolosa|Murale del diavolo|Il vento soffia|Giovane killer|Pietra sottosopra|Antro allagato|Ciccio B. Goode|＠||
Bagno bollente|Geyser gentile|Magma denso|Gabbia di fuoco|Difensore vulcanico|Caldera in fiamme|＠||||
Strada del potenziale|Albero tetro|Canzone al vento|Strada dei filosofi|Campana di confine|Fiumi di lacrime|Via luccicante|Prove profonde|＠||
Il mare bisbiglia|Isola delle onde|Mar Polpo|Il riposo di Poseidone|Lido Chiaro di luna|Barriera cora-corallina|L'Arco della luna|Sardine killer|＠||
Campo Tonno|Campo Granchio|Antro Salmone|Antro Riccio di mare|Boschi Caviale|Baia Soia|Foresta Halibut|Confine del gambero|＠||
Corridoio di cartone|Sogno di erba gatta|Muro croccante|Trucioli ovunque|Pilastro croccante|Gigante disapprova|＠||||
L'altare di Zeus|Spada di Achille|Strada di Eros|La nascita di Gaia|Porte di Afrodite|Labirinto di Ade|＠||||
Baia umidiccia|Mammiferi spiaggiati|Territorio del bikini|Pesca della mela in mare|Campo Parasole|Antico costume intero|Sabbia trasparente|Oceano di stelle|＠||
Costa del gabbiano|Isola del Pellicano|Base sotterranea|Giungla dei cattivi|Gioco del pollo|Prova del Gatto|Prateria Prigione|Carceriere in obitorio|＠||
Peccato e punizione|Sentenza in prigione|Tunnel Harry|Cascate mortali|Zona di trappole|La grande fuga|＠||||
Diario di evasione|L'ultima gang|Prigione distrutta|Re della libertà|Il fato del bugiardo|Il tabù del porcile|＠||||
La pace di Gandara|L'utopia è di là|Passo Godiego|Magia scimmiesca|Il cancello dell'estraneo|Strada Marco Po|Sbobba del maiale|Sudore freddo del folletto|＠||
Sicuro e non dispiaciuto|Claustronictofobia|Allarme Rosso|Trappole della vita|Coprifuoco sottile|Sotterranei|＠||||
Il tappeto rosso|Il bagno|La sala VIP|Sala delle torture|Giardino del dittatore|Stanza di Satana|＠||||
Festino del tradimento|Fine della catarsi|Premonizione nera|Maschera rotta|Gabbia di Agape|Volpe santa|＠||||
Sua altezza, Tè con latte|Lite furiosa|Orribile canzone|Trappola di codardi|Nemesi oscura|Odore di sangue e pesce|＠||||
Piana della valchiria|Campo minato|Kugel Schreiber|Trincea fangosa|Cecchino nella giungla|Soldato al tramonto|Padre è tornato|Rivincita|＠||
Piattaforma petrolifera|Lacrime e aldeide|Prova antica|Ti tengo d'occhio|Discarica sulla costa|Campo di benzene|Guardiano del governo|Porte girevoli galleggianti|＠||
Tramonto del gufo|Gestalt, declino|L'alba del guerriero|Tormente tormentate|Segno del Gatto|Disperazione|Sindrome metabolica|Amore e morte|＠||
Perlomeno sono un gatto|Cavalieri della tavola|Catarsi felina|Fantastico finale|Basta brutti sogni|Imparare ad amare|＠||||
Conflitto rinnovato|Ordine misterioso|Birdwatching|Dialogo spinoso|Darkweb|＠|||||
Foresta affamata|Ambiziosi al centro|Orario di punta|Massacro al molo|Stalker sotterraneo|Lord dell'abisso|＠||||
DNA & DHA|Cacciatori serali|Mandria superstite|Ecologia aliena|Creature celestiali|Pastori del mare|＠||||
Frangivento Rinrin|Piana iberica|Dune piangenti|Strada d'oro|Viale piede pesante|Problemi in villa|＠||||
Gerarchia|Tecnocrazia|Offensiva spietata|Mari celestiali|Incontri ravvicinati|La spia che mi accarezzava|＠||||
