＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
La forma final tiene una mayor|defensa y mayor probabilidad de infligir|daño crítico. Puede lanzar minioleadas.|＠|La forma final tiene una mayor|defensa y mayor probabilidad de infligir|daño crítico. Puede lanzar minioleadas.|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
La forma final tiene un mayor alcance.|Tiene la probabilidad de mermar el poder|de ataque de los enemigos voladores.|＠|La forma final tiene un mayor alcance.|Tiene la probabilidad de mermar el poder|de ataque de los enemigos voladores.|			//ネコぼさつ
La forma final tiene mejores estadísticas.|Además, paraliza a los enemigos reliquias|y es inmune a las maldiciones.|＠|La forma final tiene mejores estadísticas.|Además, paraliza a los enemigos reliquias|y es inmune a las maldiciones.|			//ネコ番長
La forma final tiene mayor defensa|y poder de ataque. Bloquea las abducciones|y ralentiza más tiempo a los enemigos rojos.|＠|La forma final tiene mayor defensa|y poder de ataque. Bloquea las abducciones|y ralentiza más tiempo a los enemigos rojos.|			//ネコザイル
La forma final tiene más poder|y velocidad de ataque. Además, anula|escudo de oleada e inmunidad a oleadas.|＠|La forma final tiene más poder|y velocidad de ataque. Además, anula|escudo de oleada e inmunidad a oleadas.|			//ねこタツ
La forma final tiene más poder de ataque.|Además, siempre paraliza a los|enemigos no metálicos.|＠|La forma final tiene más poder de ataque.|Además, siempre paraliza a los|enemigos no metálicos.|			//ネコルガ
