Ataque de unidad|
Defensa de unidad|
Velocidad de unidad|
Nvl. inicial de gatorreta|
Nvl. inicial del Gatopeón|
Dinero inicial|
Ataque de la gatorreta|
Recarga de la gatorreta|
Velocidad del Gatopeón|
Eficiencia máxima|
Defensa de la base gatuna|
Poder de investigación|
Poder de rentabilidad|
Poder de formación|
Efecto: eficacia|
Efecto: superfuerza|
Efecto: resistencia|
Efecto: repulsión|
Efecto: ralentización|
Efecto: paralización|
Efecto: desgaste|
Efecto: arrebato|
Efecto: matabrujas|
"EVA Angel Killer" Effect|
Prob. de daño crítico|
