赤い敵に効果を発動します。,＠
浮いてる敵に効果を発動します。,＠
黒い敵に効果を発動します。,＠
メタルな敵に効果を発動します。,＠
天使に効果を発動します。,＠
エイリアンに効果を発動します。,＠
ゾンビに効果を発動します。,＠
古代種に効果を発動します。,＠
悪魔に効果を発動します。,＠
属性を持たない敵に効果を発動します。,＠
＠
＠
＠
＠
＠
【攻撃力ダウン】,ターゲットとなる敵キャラクターの,攻撃力を一定時間下げる事ができます,＠
【攻撃力アップ】,この能力を持ったキャラクターの体力が,一定以下になると、攻撃力が上がります,＠
【動きを止める】,ターゲットとなる敵キャラクターの,動きを一定時間止める事ができます,＠
【動きを遅くする】,ターゲットとなる敵キャラクターの,移動速度を一定時間下げる事ができます,＠
【生き残る】,キャラクターの体力が無くなる攻撃を受けた時に,一定確率で一度だけ倒されずに持ちこたえます,＠
【城破壊が得意】,敵城を攻撃した時に与えるダメージが,大きく上がります,＠
【クリティカル】,一定確率で通常より高いダメージの攻撃を放ち、,「メタルな敵」に対して通常ダメージを与えます,＠
【攻撃ターゲット限定】,ターゲットとなる敵キャラクターにのみ,攻撃を行う事ができます,＠
【めっぽう強い】,ターゲットとなる敵キャラクターに与える,ダメージが上がり、受けるダメージが軽減されます,＠
【打たれ強い】,ターゲットとなる敵キャラクターから,受けるダメージを大幅に軽減します,＠
【撃破時お金アップ】,この能力を持つキャラクターが敵を倒した時に,通常より多くのお金をもらえます,＠
【超ダメージ】,ターゲットとなる敵キャラクターに,与えるダメージが大幅に上がります,＠
【ふっとばす】,ターゲットとなる敵キャラクターを,一定確率で遠くへふっとばします,＠
【波動攻撃】,攻撃成功時、範囲内にいる全ての敵に,追加ダメージを与える波動を放つ事ができます,＠
【メタル】,いかなる攻撃もダメージを最小に食い止めますが,クリティカル攻撃に弱いです,＠
【波動ダメージ無効】,敵からの波動攻撃でダメージを受けません,＠
【範囲攻撃】,キャラクターの攻撃範囲内にいる,敵キャラクター全てにダメージを与えます,＠
【遠方攻撃】,より遠方の敵を攻撃できるが,近くの敵に攻撃が当たりません,＠
【攻撃力ダウン無効】,敵キャラクターからの,「攻撃力ダウン」効果を受けません,＠
【動きを止める無効】,敵キャラクターからの,「動きを止める」効果を受けません,＠
【動きを遅くする無効】,敵キャラクターからの,「動きを遅くする」効果を受けません,＠
【ふっとばす無効】,敵キャラクターからの,「ふっとばす」効果を受けません,＠
【単体攻撃】,キャラクターの攻撃範囲内にいる,敵キャラクター1体にダメージを与えます,＠
【魔女キラー】,まどか☆マギカコラボに登場する魔女へ,与えるダメージが上がり、受けるダメージが軽減されます,＠
【ゾンビキラー】,この能力を持つキャラクターがゾンビ属性の敵に,トドメをさすと蘇生を防ぐことができます,＠
【波動ストッパー】,このキャラクターより後ろへ波動が届かないように,波動を打ち消し、波動ダメージも無効化します,＠
【バリアブレイカー】,バリアを持つ敵を攻撃すると一定確率でバリアを破壊し,破壊時の攻撃でダメージも与えます,＠
【ワープ無効】,敵キャラクターからの,「ワープ」効果を受けません,＠
【全方位攻撃】,自身の前方から後方まで,広い範囲にいる敵を攻撃できます,＠
【使徒キラー】,エヴァンゲリオンコラボに登場する使徒へ,与えるダメージが上がり、受けるダメージが軽減されます,＠
【古代の呪い無効】,敵キャラクターから一時的に「効果」を封じられる,「古代の呪い」を受けません,＠
【ワープ】,敵キャラクターをワープさせます,＠
【攻撃力ダウン耐性】,敵キャラクターからの,「攻撃力ダウン」効果を軽減します,＠
【動きを止める耐性】,敵キャラクターからの,「動きを止める」効果を軽減します,＠
【動きを遅くする耐性】,敵キャラクターからの,「動きを遅くする」効果を軽減します,＠
【ふっとばし耐性】,敵キャラクターからの,「ふっとばす」効果を軽減します,＠
【波動ダメージ耐性】,敵からの波動攻撃で受けるダメージを軽減します,＠
【ワープ耐性】,敵キャラクターからの,「ワープ」効果を軽減します,＠
【生産コストダウン】,生産コストが減少します,＠
【生産スピードアップ】,生産スピードが上がります,＠
【移動速度アップ】,移動速度が上がります,＠
【ノックバック回数増加】,ノックバック回数が増加します,＠
【古代の呪い耐性】,敵キャラクターから一時的に「効果」を封じられる,「古代の呪い」の効果を軽減します,＠
【基本攻撃力アップ】,基本攻撃力が上がります,＠
【基本体力アップ】,基本体力が上がります,＠
【極ダメージ】,ターゲットとなる敵キャラクターに,与えるダメージが超大幅に上がります,＠
【超打たれ強い】,ターゲットとなる敵キャラクターから,受けるダメージを超大幅に軽減します,＠
【属性　赤い敵】,対象ターゲットに「属性　赤い敵」を追加,＠
【属性　浮いてる敵】,対象ターゲットに「属性　浮いてる敵」を追加,＠
【属性　黒い敵】,対象ターゲットに「属性　黒い敵」を追加,＠
【属性　メタル】,対象ターゲットに「属性　メタル」を追加,＠
【属性　天使】,対象ターゲットに「属性　天使」を追加,＠
【属性　エイリアン】,対象ターゲットに「属性　エイリアン」を追加,＠
【属性　ゾンビ】,対象ターゲットに「属性　ゾンビ」を追加,＠
【属性　古代種】,対象ターゲットに「属性　古代種」を追加,＠
【属性を持たない敵】,対象ターゲットに「属性を持たない敵」を追加,＠
【渾身の一撃】,一定確率で通常より高いダメージの攻撃を放ちます,＠
【攻撃無効】,ターゲットとなる敵キャラクターから,一定時間ダメージを受けなくなります,＠
【烈波攻撃】,攻撃成功時、ランダムな場所に,追加ダメージを与える烈波を放つ事ができます,＠
【毒撃ダメージ無効】,敵からの毒撃でダメージを受けません,＠
【呪い】,ターゲットとなる敵キャラクターの,「効果」を一定時間封じる事ができます,＠
【烈波ダメージ無効】,敵からの烈波攻撃でダメージを受けません,＠
【小波動】,攻撃成功時、範囲内にいるすべての敵に,追加ダメージを与える小さい波動を放つ事ができます,＠
【毒撃ダメージ耐性】,敵キャラクターからの,「毒撃」の効果を軽減します,＠
【烈波ダメージ耐性】,敵からの烈波攻撃で受けるダメージを軽減します,＠
【シールドブレイカー】,悪魔シールドを持つ敵を攻撃すると一定確率で,悪魔シールドを破壊し破壊時の攻撃でダメージも与えます,＠
【属性　悪魔】,対象ターゲットに「属性　悪魔」を追加,＠
