0,ネコ基地へようこそ！,ここで戦闘の準備を整えて,戦いに出発にゃ♪,＠,＠,＠
1,ネコ基地へようこそ！,パワーアップ画面から,新しいキャラクターを,ゲットするにゃ！,＠,＠
2,このフキダシをタップすると,いろんなにゃんこ豆知識を,読むことが出来るにゃ！,＠,＠,＠
3,誰でも,褒められるとうれしいにゃ,ときには努力も,見せびらかしていいと思うにゃ,＠,＠
3,マンガで得た知識も,りっぱな知識にゃ！,＠,＠,＠,＠
3,パワーアップさせるための,経験値が欲しいときは,1章や2章でクリア回数の,少ないステージでのバトルを,試してみるにゃ！,＠
3,ねこの手も,借りたい気分にゃ！,＠,＠,＠,＠
3,にゃんこの半分は,やさしさで出来てるにゃ,＠,＠,＠,＠
4,このフキダシをタップすると,にゃんこ豆知識を,切り替えて表示することが,出来るにゃ！,＠,＠
5,何事も感謝の気持ちが大切にゃ。,＠,＠,＠,＠,＠
5,ハングリーであれ。,バカであれ。,＠,＠,＠,＠
5,ネコカンは至極の食べ物にゃ♪,にゃんこは全員、ネコカンに,まっしぐらにゃ！,＠,＠,＠
6,本当に伝えたいことは,願うだけじゃ通じないにゃ。,＠,＠,＠,＠
7,人もにゃんこも,個性があるから,おもしろいにゃ,＠,＠,＠
7,宿題を終わらせないと,これ以上は遊べないにゃ,＠,＠,＠,＠
7,ほんの一歩、,勇気を出して進むだけで,世界は変わるにゃ,＠,＠,＠
7,ピンチこそチャンスにゃ,＠,＠,＠,＠,＠
7,ネコ道場ステージでは統率力を,消費せずに遊べるにゃ,腕試しには丁度いいから,気軽に挑戦して欲しいにゃ～,＠,＠
7,にゃんこはいつでも,みんなの心のなかにいるにゃ,＠,＠,＠,＠
8,分からなくて当然にゃ。,みんなそれぞれ違うんだから。,＠,＠,＠,＠
9,無謀なことをやってみたら,勇気がでることもあるにゃ。,＠,＠,＠,＠
9,泣きたいときは泣けばいい。,逃げたいときは逃げればいい。,人はそんなに,強い生き物じゃないにゃ。,＠,＠
9,何事も一生懸命な人ほど,魅力があるにゃ。,笑顔も、涙も、怒りも。,全力でやってみるにゃ！,＠,＠
9,ときにはプライドを,捨ててみるのもいいにゃ。,＠,＠,＠,＠
10,落ち込むのは当たり前にゃ。,世の中、上手く,行かないことの方が,多いにゃ。,＠,＠
10,便利すぎる,コミュニケーション手段が,いつのまにか,逃げ場所を奪っているにゃ。,＠,＠
10,あえて空気を読まず,行動してるときが一番、,空気読めてるときにゃ。,＠,＠,＠
11,ガマトトのレベルが上がれば,探検時にいいアイテムが,出やすくなるにゃ,＠,＠,＠
12,なかなか勝てないときは,通常ステージで,経験値をかせいで,パワーアップするのにゃ！,＠,＠
13,波動を放ってくる敵には,体力が多くて強いにゃんこを,出撃して迎え撃つのが,攻略の秘訣にゃ！,＠,＠
13,ごくたまに,ものすごく経験値をもらえる,「超ゲリラ経験値」ステージが,登場することがあるにゃ！,でも超難関なので要注意にゃ！,＠
13,イベントステージは,中級者向けのステージが多いにゃ,まずは通常ステージで,しっかり戦力を蓄えるのにゃ,＠,＠
14,曜日イベントステージではたまに,貴重なアイテムが手に入るにゃ！,アイテムを使えば戦闘を有利に,すすめることができるにゃ！,＠,＠
14,土日のイベントステージは,経験値をがっぽりもらえるにゃ！,パワーアップするための経験値が,欲しいときはそこがオススメにゃ！,＠,＠
14,他の章で集められる,お宝の効果は絶大にゃ！,お宝効果を,一つでも発動させるだけで,とんでもなく強くなるにゃ！,＠
14,赤い敵や黒い敵に対して,特殊能力を発動する,にゃんこがいるにゃ！,キャラクター説明文に,それとなく書いてあるにゃ！,＠
14,採点報酬ステージは,ステージのクリア時間が短いほど,高得点がもらえるにゃ！,高い得点を出すほど,いい報酬がゲット出来るにゃ！,＠
14,「レジェンドストーリー」では、,マップ内のステージを,全部クリアすれば,ネコカンがもらえるにゃ！,＠,＠
14,メタルな奴らを粉砕する,クリティカルというものが,存在するらしいにゃ！,＠,＠,＠
14,メタルな奴らは,超カタいので注意にゃ！,ちょっとずつしかダメージを,与えられないので,攻撃回数が重要にゃ,＠
14,なかなか勝てないときは,他の章でお宝効果を,発動させるのにゃ！,＠,＠,＠
14,ごくたまに,にゃんこチケットがもらえる,「にゃんチケ☆チャンス」,ステージが登場するにゃ！,ググれば何かしら情報がでるにゃ！,＠
