14,-1,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
0,					//マップパターン 0～
80,1520,31,0,3,1,0,1,-1,		//1ステージ
80,1520,3,0,3,1,0,1,-1,			//2ステージ
85,1615,3,90,31,5,6,9750,-1,		//3ステージ
90,1710,3,99,33,1,0,1,-1,		//4ステージ
90,1710,3,0,3,1,3,1,-1,			//5ステージ
90,1710,30,99,31,1,0,1,-1,		//6ステージ
100,1900,3,0,3,5,6,12000,-1,		//7ステージ
120,2280,3,60,33,1,3,1,-1,		//8ステージ

//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー
//6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
