17,-1,3,-1,-1,    //マップ番号 0～15
1,	//マップパターン 0～
60,1800,3,99,31,4,1119,1,-2,-2,-2,-2,-2,-2,-2,1,8000,6,250000,3500,5,1,500,6,50000,-1,			//1ステージ
70,2100,3,90,31,5,1119,1,-2,-2,-2,-2,-2,-2,-2,1,8000,6,450000,3500,6,150000,500,4,1,-1,			//2ステージ
80,2400,30,100,30,10,1119,1,-2,-2,-2,-2,-2,-2,-2,1,7500,11,1,3500,12,1,500,6,100000,-1,		//3ステージ

//消滅都市 ２マップ目
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
