17,-1,2,-1,-1,    //マップ番号 0～15
0,	//マップパターン 0～
30,900,3,90,33,1,1119,1,-2,-2,-2,-2,-2,-2,-2,1,9000,6,50000,3000,6,15000,500,0,1,-1,			//1ステージ
40,1200,30,99,31,2,1119,1,-2,-2,-2,-2,-2,-2,-2,1,8000,6,100000,4000,2,1,500,6,20000,-1,			//2ステージ
50,1500,30,99,33,3,1119,1,-2,-2,-2,-2,-2,-2,-2,1,8000,6,150000,4000,6,50000,500,3,3,-1,		//3ステージ

//消滅都市　１マップ目
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0

