Treasure Festival	#00acee
Treasure Festival (Empire)	100
Treasure Festival (Future)	101
Treasure Festival (Cosmos)	104
Talent Orb Event	#864a2b
Island of Hidden Treasure	24055
Builder's Blitz	#374f8e
Cavern of Comets	1150
Island of Ash	1151
Strait of Wings	1152
Normal Ticket Event	#ff6600
Cat Ticket Chance!	1006
Siege of Hippoe!	1007
Facing Danger	1078
Training Event	#ff00ff
XP Stage	1028
XP Megablitz!	1059
XP Colosseum	1124
Merciless XP!	1155
XP Bonanza!	1319
The Proving Grounds	1250
Evolve Material Event	#008f03
Growing Strange	1162
Growing Epic	1222
Growing Evil	1274
Catfruit Buffet	1118
Mining Epic	1326
Daily Stages	#82318e
Mon. Blitz Stage	1073
Tues. Blitz Stage	1074
Weds. Blitz Stage	1075
Thurs. Blitz Stage	1076
Fri. Blitz Stage	1077
Behemoth Culling Event	#5f801f
Hidden Forest of Gapra	31000
Ashvini Desert	31001
Jinfore Volcano	31002
Empress' Research Event	#3f7bd4
Arcane Confluence	1255
Servant of Darkness	1256
Wicked Cat	1257
Wicked Tank	1258
Demon's Park	1265
Wicked Axe	1266
