			0	22	777	300	0
		・・・	0	22	300	
1	0	・・・	2	3		
2	0	・・・	4			
3	0	・・・	0			
4	0	・・・	5			
5	0	・・・	6	3		
6	0	・・・	8	7		
7	0	・・・	8	8		
8	0	・・・	9	9		
9	0	・・・	11	10		
10	0	・・・	11	3		
11	0	・・・	12			
12	0	・・・	13	15		
13	0	・・・	14			
14	0	・・・	16			
15	0	・・・	13			
16	0	・・・	17			
17	20	・・・	100			
100	0	・・・	101	110		
101	0	・・・	102			
102	0	・・・	103	109		
103	0	・・・	104	106		
104	0	・・・	105	106		
105	0	・・・	106	107		
106	0	・・・	0			
107	0	・・・	108			
108	0	・・・	120			
109	0	・・・	123	130		
110	0	・・・	111	112		
111	0	・・・	120			
112	0	・・・	109			
120	0	・・・	121			
121	0	・・・	122	123		
122	0	・・・	140			
123	0	・・・	0			
130	0	・・・	131			
131	0	・・・	122	123		
140	0	・・・	141			
141	0	・・・	142	142		
142	0	・・・	143	144		
143	0	・・・	145			
144	0	・・・	143	142		
145	0	・・・	146			
146	20	・・・	200			
200	0	・・・	201	202		
201	0	・・・	203	204		
202	0	・・・	205	204		
203	0	・・・	206			
204	0	・・・	0			
205	0	・・・	206			
206	0	・・・	207			
207	0	・・・	208			
208	0	・・・	209			
209	0	・・・	210			
210	0	・・・	211			
211	0	・・・	213	212		
212	0	・・・	213			
213	20	・・・	300			
300	0	・・・	301			
301	0	・・・	302			
302	0	・・・	303			
303	0	・・・	304			
304	0	・・・	305			
305	0	・・・	306			
306	0	・・・	307			
307	0	・・・	308			
308	0	・・・	309	309		
309	0	・・・	310			
310	0	・・・	311			
311	0	・・・	312			
312	0	・・・	313			
313	0	・・・	314			
314	0	・・・	315			
315	0	・・・	316			
316	0	・・・	317			
317	0	・・・	318			
318	0	・・・	319			
319	0	・・・	-2			
