＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
La forme ultime gagne une défense|Défense, meilleures chances d’att. critique,|obtient la capacité de mini-vague.|＠|La forme ultime gagne une défense|Défense, meilleures chances d’att. critique,|obtient la capacité de mini-vague.|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
La forme ultime augmente la portée !|Elle donne aussi une chance de réduire|la puiss. d'attaque des ennemis flottants !|＠|La forme ultime augmente la portée !|Elle donne aussi une chance de réduire|la puiss. d'attaque des ennemis flottants !|			//ネコぼさつ
La forme ultime augmente les stat. !|Octroie l'immob. des ennemis reliques et|devient immun. contre les maléd. ennemies.|＠|La forme ultime augmente les stat. !|Octroie l'immob. des ennemis reliques et|devient immun. contre les maléd. ennemies.|			//ネコ番長
La forme ultime augmente la défense|et l'att. Bloque les téléport. et ralentit|les déplac. des ennemis rouges !|＠|La forme ultime augmente la défense|et l'att. Bloque les téléport. et ralentit|les déplac. des ennemis rouges !|			//ネコザイル
La forme ultime augmente la vitesse|et la puissance d’attaque ! Avec annulation|bloque-vagues et immun. Vagues !|＠|La forme ultime augmente la vitesse|et la puissance d’attaque ! Avec annulation|bloque-vagues et immun. Vagues !|			//ねこタツ
La forme ultime augmente l’attaque !|Avec 100 % de chances d’immobiliser|les ennemis non-métal !|＠|La forme ultime augmente l’attaque !|Avec 100 % de chances d’immobiliser|les ennemis non-métal !|			//ネコルガ
