Attaque de l’unité|
Défense de l’unité|
Vitesse de l’unité|
Niveau initial Chanon|
Niveau initial Chadjoint|
Argent initial|
Puissance Chanon|
Charge Chanon|
Vitesse Chadjoint|
Chadjoint au max.|
Défense de la base féline|
Puissance de recherche|
Puissance de rentabilité|
Puissance d’expertise|
Effet assure|
Effet dégâts massifs|
Effet résistance|
Effet recul|
Effet ralentissement|
Effet immobilisation|
Effet affaiblissement|
Effet renforcement|
Effet tueur de sorcières|
"EVA Angel Killer" Effect|
Taux de critique|
