Schatzfest	#00acee
Schatzfest (Imperium)	100
Schatzfest (Zukunft)	101
Schatzfest (Kosmos)	104
Talentkugel-Event	#864a2b
Insel d. verst. Schatzes	24055
Baublitz	#374f8e
Kaverne der Kometen	1150
Aschinsel	1151
Flügelschlucht	1152
Normales-Ticket-Event	#ff6600
Katzenticket-Chance!	1006
Nilpferdbelagerung!	1007
Im Angesicht der Gefahr	1078
Trainingsevent	#ff00ff
XP-Level	1028
XP Megablitz!	1059
XP-Kolosseum	1124
Gnadenlos-XP!	1155
XP-Goldgrube!	1319
Das Versuchsgelände	1250
Entwicklungsmaterial-Event	#008f03
Seltsames Sprießen	1162
Episches Sprießen	1222
Böses Sprießen	1274
Katzenfrucht-Buffet	1118
Epischer Bergbau	1326
Tageslevel	#82318e
Monats-Blitzlevel	1073
Dienstag-Blitzlevel	1074
Mittwoch-Blitzlevel	1075
Donnerstag-Blitzlevel	1076
Freitag-Blitzlevel	1077
Behemothjagd-Event	#5f801f
Versteckter Gapra-Wald	31000
Ashvini-Wüste	31001
Jinfore-Vulkan	31002
Kaiserliches Forsch.-Event	#3f7bd4
Arkane Konfluenz	1255
Diener der Dunkelheit	1256
Gemeine Katze	1257
Gemeiner Panzer	1258
Park der Dämonen	1265
Entfesselte Axtkatze	1266
