id,type,lv2,value1,value2,easing
0,0,10,100,100,0
0,0,20,100,100,0
0,0,30,100,100,0
1,1,10,30,50,0
1,1,20,50,100,0
1,1,30,100,150,0
2,3,10,100,298,0
2,3,20,298,330,0
2,3,30,330,362,0
2,4,10,60,90,0
2,4,20,90,135,0
2,4,30,135,180,0
2,6,10,400,400,0
2,6,20,400,400,0
2,6,30,400,400,0
3,0,10,30,39,0
3,0,20,39,48,0
3,0,30,48,57,0
3,2,10,15,30,0
3,2,20,30,60,0
3,2,30,60,90,0
3,5,10,2000,2000,0
3,5,20,2000,2000,0
3,5,30,2000,2000,0
4,7,10,110,200,0
4,7,20,200,350,0
4,7,30,350,450,0
4,8,10,1,1,0
4,8,20,1,1,0
4,8,30,1,1,0
4,5,10,2000,2000,0
4,5,20,2000,2000,0
4,5,30,2000,2000,0
5,2,10,30,45,0
5,2,20,45,60,0
5,2,30,60,75,0
5,9,10,5,25,0
5,9,20,25,100,0
5,9,30,100,150,0
5,10,10,100,150,0
5,10,20,150,300,0
5,10,30,300,400,0
5,11,10,0,0,0
5,11,20,0,0,0
5,11,30,0,0,0
6,0,10,30,50,0
6,0,20,50,100,0
6,0,30,100,150,0
6,5,10,800,1000,0
6,5,20,1000,1600,0
6,5,30,1600,2000,0
7,12,10,33,60,0
7,12,20,60,120,0
7,12,30,120,180,0









