-1,						//アイテム報酬型ステージ設定(-1:OFF)
3,						//全ステージ数
0,4000,30,99,33,8,30095,1,-4,2,30096,1,8,30100,1,2,30101,1,8,30105,1,2,30106,1,4,30020,1,1,30021,1,4,30025,1,1,30026,1,-1,			//044_00ステージ
0,4000,30,99,31,8,30096,1,-4,2,30097,1,8,30101,1,2,30102,1,8,30106,1,2,30107,1,4,30021,1,1,30022,1,4,30026,1,1,30027,1,-1,			//044_01ステージ
0,4000,30,99,33,8,30097,1,-4,2,30098,1,8,30102,1,2,30103,1,8,30107,1,2,30108,1,4,30022,1,1,30023,1,4,30027,1,1,30028,1,-1,			//044_02ステージ


//EXマップ 044
//1行目　　：このEXマップの全ステージ数
//2行目　　：マップ番号によるマップパターン(0～3),
//3行目以降：消費統率力,クリア時の獲得XP,サウンド(スタート時),サウンド(ボス出現時の城体力％),サウンド(ボス),アイテム入手確率,アイテム番号,貰える数,
									
