0,0,0,0,0,0,			//城番号
4200,9999999,1,1,43,20,285,3,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
285,1,0,1,1,0,0,0,1,100,	//出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率,スコア値
125,5,1,50,150,720000,3,9,0,400,1000,
24,1,1,1,1,720000,0,2,0,3000,2000,
36,1,1,1,1,720000,9,9,1,600,19000,
286,6,1,30,60,670000,6,9,0,300,1000,
294,3,1,45,90,670000,6,9,0,300,1000,
294,1,1,1,1,670000,5,5,1,300,1000,
39,4,1,100,150,620000,4,9,0,800,1000,
20,1,1,1,1,620000,3,3,1,1000,17000,
289,4,1,50,150,570000,3,6,0,300,1000,
293,1,1,1,1,570000,0,2,1,300,16000,
125,5,1,50,150,520000,3,9,0,300,1000,
24,1,1,1,1,520000,0,2,0,2400,2000,
36,1,1,1,1,520000,9,9,1,500,15000,
286,6,1,30,60,470000,6,9,0,250,1000,
294,3,1,45,90,470000,6,9,0,250,1000,
294,1,1,1,1,470000,5,5,1,250,1000,
39,4,1,100,150,420000,4,9,0,600,1000,
20,1,1,1,1,420000,3,3,1,800,13000,
289,4,1,50,150,370000,3,6,0,250,1000,
293,1,1,1,1,370000,0,2,1,250,12000,
125,5,1,50,150,320000,3,9,0,200,1000,
24,1,1,1,1,320000,0,2,0,1800,2000,
36,1,1,1,1,320000,9,9,1,400,11000,
286,6,1,30,60,270000,6,9,0,200,1000,
294,3,1,45,90,270000,6,9,0,200,1000,
294,1,1,1,1,270000,5,5,1,200,1000,
39,4,1,100,150,220000,4,9,0,400,1000,
20,1,1,1,1,220000,3,3,1,600,9000,
289,4,1,50,150,170000,3,6,0,150,1000,
293,1,1,1,1,170000,0,2,1,150,8000,
294,5,1,50,150,120000,7,9,0,100,500,
36,1,1,1,1,120000,7,7,1,200,7000,
39,3,1,100,150,80000,4,9,0,100,1000,
20,1,1,1,1,80000,3,3,1,400,6000,
289,4,1,50,100,50000,6,6,0,100,1500,
286,3,1,100,150,50000,7,9,0,100,500,
286,1,1,1,1,50000,7,7,1,100,500,
24,4,1,30,60,30000,1,3,0,600,1000,
24,1,1,1,1,30000,0,0,1,600,1000,
294,5,1,50,100,18000,7,9,0,30,500,
293,1,1,1,1,18000,7,9,1,30,5000,
20,1,1,1,1,10000,3,3,1,100,4000,
286,3,1,100,150,5000,7,9,0,20,500,
289,1,1,1,1,5000,7,7,1,20,3000,
24,1,1,1,1,1000,3,3,1,100,2000,
286,5,150,200,300,0,7,9,0,20,


//敵は１ステージ最大１０種類
//にゃんこ道場ランキング

