76,93,85,1,		//下地のカラー
8,	//A
891,471,			//1
893,571,			//2
762,586,			//3
853,848,			//4
638,836,			//5
485,854,			//6
652,669,			//7
549,549,			//8
8,	//B
447,877,			//1
642,839,			//2
587,717,			//3
756,731,			//4
853,696,			//5
788,617,			//6
889,469,			//7
1098,463,			//8
3,      //C
511,821,			//1
728,724,			//2
894,566,			//3
1,      //D
735,681,			//1
6,	//E
1093,471,			//1
762,586,			//2
853,848,			//3
485,854,			//4
652,669,			//5
549,549,			//6
//ステージ数
//x,y,統率力,XP
