4,-1,10,-1,-1,    //マップ番号 0～15
2,	//マップパターン 0～
30,570,3,99,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,9000,5,1,7000,6,100000,6000,6,50000,500,11,1,-1,		//1ステージ
60,1140,32,99,31,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,9000,5,1,8000,6,200000,7000,6,100000,500,11,1,-1,		//2ステージ
90,1710,33,100,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,8500,1,1,7000,5,1,5000,12,1,500,11,1,-1,		//3ステージ

//逆襲のメルクストーリア
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
