4,-1,46,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
2,					//マップパターン 0～
100,9800,3,99,33,10,6,30000,-2,-2,-2,-2,-2,-2,-2,1,7500,6,75000,7000,2,1,500,6,15000,-1,
120,13200,32,99,31,10,6,50000,-2,-2,-2,-2,-2,-2,-2,1,7500,6,100000,4500,4,1,500,6,25000,-1,
200,30000,33,100,33,10,6,150000,-2,-2,-2,-2,-2,-2,-2,1,5500,6,250000,3000,1,1,500,6,75000,-1,


//メルクコラボ　経験値マップ
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
