14,191,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
7,					//マップパターン 0～
50,4500,3,99,33,100,6,25000,1,0,1,1,-1,	//1ステージ
100,12000,32,100,32,100,6,100000,1,0,1,1,-1, //2ステージ
150,22500,31,100,31,100,6,300000,1,0,1,1,-1, //3ステージ
200,36000,30,100,30,100,6,500000,1,0,1,1,-1, //4ステージ
300,65000,33,100,33,100,6,800000,1,0,1,1,-1, //5ステージ


//ウエハース降臨イベント
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
