15,-1,34,-1,-1,    //マップ番号 0～15
4,	//マップパターン 0～
50,1500,3,100,3,1,1142,1,-2,-2,-2,-2,-2,-2,-2,1,8500,6,50000,7000,0,1,500,6,10000,-1,			//1ステージ
60,1800,3,90,30,3,1142,1,-2,-2,-2,-2,-2,-2,-2,1,8000,6,75000,6000,5,1,500,6,15000,-1,			//2ステージ
75,2250,30,99,31,5,1142,1,-2,-2,-2,-2,-2,-2,-2,1,7500,6,100000,4500,2,1,500,6,25000,-1,			//3ステージ
90,2700,3,99,33,10,1142,1,-2,-2,-2,-2,-2,-2,-2,1,7000,6,150000,4500,4,1,500,6,50000,-1,			//4ステージ
100,3000,31,100,31,25,1142,1,-2,-2,-2,-2,-2,-2,-2,1,7000,1,1,5000,11,1,500,12,1,-1,		//5ステージ

//ＦＴコラボ常設ステージ
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
