14,-1,36,-1,-1,    //マップ番号 0～15
2,	//マップパターン 0～
50,1500,3,90,75,1,1143,1,-2,-2,-2,-2,-2,-2,-2,1,8500,6,50000,7000,2,1,5000,6,10000,500,3,1,-1,			//1ステージ
75,2250,30,99,33,5,1143,1,-2,-2,-2,-2,-2,-2,-2,1,7500,6,75000,6500,11,1,5000,6,25000,500,4,1,-1,			//2ステージ
100,3000,31,99,75,10,1143,1,-2,-2,-2,-2,-2,-2,-2,1,7000,1,1,6000,6,150000,5000,11,1,500,12,1,-1,			//3ステージ

//ＰＰコラボ常設ステージ
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー
//貰える数		0
									
