17,-1,29,-1,-1,    //マップ番号 0～15
3,	//マップパターン 0～
50,1500,3,99,62,5,1140,1,-2,-2,-2,-2,-2,-2,-2,1,7500,6,75000,4000,2,1,500,6,15000,-1,			//1ステージ
75,2250,62,100,62,10,1140,1,-2,-2,-2,-2,-2,-2,-2,1,7500,6,150000,3500,4,1,500,0,1,-1,			//2ステージ
100,3000,30,99,62,30,1140,1,-2,-2,-2,-2,-2,-2,-2,1,6000,1,1,3500,11,1,500,12,1,-1,		//3ステージ

//消滅都市２
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0

