25,-1,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
1,	//マップパターン 0～
60,1140,3,99,33,1,6,500000,-3,-1,	//1ステージ
70,1330,3,99,33,1,6,750000,-3,-1,	//2ステージ
80,1520,31,99,32,1,6,1000000,-3,-1,	//3ステージ
90,1710,31,99,32,1,6,1500000,-3,-1,	//4ステージ
100,1900,33,100,33,1,6,2000000,-3,-1,	//5ステージ
110,2090,33,100,33,1,6,2500000,-3,-1,	//6ステージ
120,2280,3,99,31,1,6,3000000,-3,-1,	//7ステージ
130,2470,3,99,31,1,6,3750000,-3,-1,	//8ステージ
140,2660,30,99,33,1,6,5000000,-3,-1,	//9ステージ
150,2850,30,99,33,1,6,10000000,-3,-1,	//10ステージ


//ウルトラミラクル強襲
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー
//貰える数		0
