스피드 업|전투 스피드가 2배속이 됩니다|골드 회원의 경우 3배속이 해방됩니다|(전투 중, 아이템 아이콘을 누르면 ON·OFF 가능)|＠|
트레저 레이더|전투 승리 시 드롭 보수를 반드시 획득 가능합니다|최고급 보물이나 아군 캐릭터의 드롭 보수 또는|경험치와 개다래 스테이지에서 사용 시 효과적입니다|＠|
고양이 도령|일 고양이의 지갑 사이즈가 MAX 상태에서 시작합니다|일 고양이의 레벨 업에 필요한 돈을 절약하여|전투를 유리하게 진행할 수 있습니다||
야옹컴|고양이형 CPU가 전투를 자동으로 플레이|단, 고양이형이므로 성능은...|(전투 중, 아이템 아이콘을 누르면 ON·OFF 가능)||
고양이 박사|전투 승리 시 받을 수 있는 경험치가|1.5배가 됩니다. 경험치를 대량으로|획득 가능한 스테이지에서 사용 시 효과적입니다||
스냥이퍼|스나이퍼가 어떤 적이라도 반드시 히트 백시킵니다|냥코 성의 체력이 높을 수록 공격력이 상승|(전투 중, 아이템 아이콘을 누르면 ON·OFF 가능)|＠|
XP|캐릭터의 레벨을 |올릴 수 있습니다.|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
XP 5000|＠||||
XP 10000|＠||||
XP 30000|＠||||
XP 50000|＠||||
XP 100000|＠||||
XP 200000|＠||||
XP 500000|＠||||
XP 1000000|＠||||
XP 2000000|＠||||
XP 500000|＠||||
냥코 티켓|＠||||
레어 티켓|＠||||
고양이 통조림|아이템이나 경험치를 구입할 수 있습니다.|＠|||
럭키 티켓|＠||||
|＠||||
|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
플래티넘 티켓|＠||||
보라 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
빨강 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
파랑 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
초록 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
노랑 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
보라 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
빨강 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
파랑 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
초록 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
노랑 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
무지개 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
고대 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
고대 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
무지개 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
황금 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
