0|고양이 기지에 온 걸 환영해!|여기서 전투를 준비한 뒤에|출진하자냥!|＠|＠|＠
1|고양이 기지에 온 걸 환영해!|파워 업 화면에서|새로운 캐릭터를|획득하자냥!|＠|＠
2|이 말풍선을 탭하면|여러 가지 냥지식을|읽을 수 있다냥!|＠|＠|＠
3|누구라도|칭찬받으면 기쁜 거다냥|가끔씩은 노력하는 모습을|자랑스럽게 내보여도 좋다냥|＠|＠
3|만화책에서 얻은 지식도|멋진 지식이다냥!|＠|＠|＠|＠
3|파워 업 시킬|경험치가 필요할 때는|1장이나 2장에서 클리어 횟수가|적은 스테이지를 클리어하자냥!|＠|＠
3|오랫동안 꿈을 그리는 자는|마침내 그 꿈과 닮아가는 법이다냥|＠|＠|＠|＠
3|냥코의 반은|상냥함으로 이루어져 있다냥|＠|＠|＠|＠
4|이 말풍선을 탭하면|여러 가지 냥지식을|읽을 수 있다냥!|＠|＠|＠
5|뭐든지 감사하는 마음이 중요하다냥|＠|＠|＠|＠|＠
5|늘 갈망하고|바보처럼 도전하라|＠|＠|＠|＠
5|고양이 통조림은 최고의 진수성찬♪|냥코들이 제일 좋아하는|음식이야!|＠|＠|＠
6|마음은 전하지 않으면|알 수 없다냥|＠|＠|＠|＠
7|사람이든 동물이든 냥코든|모두 개성이 있으니|참 멋진 거 같다냥|＠|＠|＠
7|숙제를 빨리 끝내지 않으면|엄마한테 혼난다냥!|＠|＠|＠|＠
7|단 한 걸음, 그 한 걸음이라도|용기를 내서 걷는다면|앞으로의 세계는 달라질 거다냥|＠|＠|＠
7|위기야말로 기회다냥!|＠|＠|＠|＠|＠
7|냥코 도장 스테이지에서는 통솔력을|소비하지 않고 플레이할 수 있다냥!|실력 측정에 좋으니|모두들 도전해보라냥~!|＠|＠
7|냥코는 언제나 항상|여러분들의 마음속에 있다냥|＠|＠|＠|＠
8|잘 모르는 게 당연하다냥|사람이란 전부 제각각 다르니까|＠|＠|＠|＠
9|의외로 무모한 일을 하다 보면|용기가 날 수도 있다냥|＠|＠|＠|＠
9|울고 싶을 땐 울어도 돼.|도망치고 싶을 땐 도망쳐도 돼|사람이란 그렇게|강한 동물이 아니니까|＠|＠
9|어떤 일이든 열심히 하는 사람일수록|매력이 있다냥|웃음도 눈물도 분노도.|전력을 다해 보는 거다냥!|＠|＠
9|때로는 자존심을|버려보는 것도 괜찮다냥|＠|＠|＠|＠
10|우울해할 필요 없다냥|이 사회에서는|잘 안될 때가|더 많은 법이다냥|＠|＠
10|다른 사람과 나를 비교하는 건|어리석은 일이다냥|무엇이 행복인지는|사람마다 다 다르니까|＠|＠
10|억지로 맞추려 하지 말고|느끼는 대로 행동할 때가 제일|눈치가 빠를 때다냥|＠|＠|＠
11|가마토토의 레벨이 올라가면|탐험 시의 좋은 아이템|발견율이 올라간다냥|＠|＠|＠
12|좀처럼 이길 수 없을 때는|기본 스테이지에서|경험치를 벌어서|파워 업 하는 거다냥!|＠|＠
13|파동을 뿜어내는 적에는|체력이 높고 강한 냥코를|출진시켜 적에게 맞서는 게|공략의 비결이다냥!|＠|＠
13|아주 가끔씩|엄청나게 많은 경험치를 받을 수 있는|「초 게릴라 경험치」스테이지가|등장하는 경우가 있다냥!|단! 어려우니 준비 단단히 하는 거다냥!|＠
13|이벤트 스테이지는|중급자용 스테이지가 많다냥|일단은 기본 스테이지로|든든히 전력을 쌓는 거다냥|＠|＠
14|요일 이벤트 스테이지에서는 가끔|귀중한 아이템을 얻을 수 있다냥!|아이템을 쓰면 전투를 유리하게|이끌어 나갈 수 있다냥!|＠|＠
14|토일 이벤트 스테이지는|경험치를 많이 얻을 수 있다냥!|경험치가 필요할 때는|토일 스테이지를 추천한다냥!|＠|＠
14|다른 장에서 모을 수 있는|보물의 효과는 절대적이다냥!|보물의 효과를|하나라도 발동 시킨다면|엄청나게 강해질 거다냥!|＠
14|빨간 적이나 검은 적에|특수능력을 발동하는|냥코가 있다냥!|캐릭터 설명문을|보면 알 수 있을 거다냥!|＠
14|스코어 보상 스테이지는|스테이지를 클리어한 시간이 빠를수록|고득점을 기록할 수 있다냥!|고득점일수록|좋은 보상을 획득할 수 있다냥!|＠
14|「레전드 스토리」에서는|맵 안의 모든 스테이지를|전부 클리어하면|고양이 통조림을 받을 수 있다냥!|＠|＠
14|메탈 녀석들을 분쇄하는|크리티컬이라는 것이|존재하는 것 같다냥!|＠|＠|＠
14|메탈 녀석들은|진짜 단단하니까 요주의다냥!|조금씩 밖에 데미지를|줄 수 없어서|공격 횟수가 중요하다냥|＠
14|좀처럼 이길 수 없을 때는|다른 장에서 보물 효과를|발동시키는 거다냥!|＠|＠|＠
14|아주 가끔씩|냥코 티켓을 받을 수 있는|｢냥코티켓☆찬스｣|스테이지가 등장한다냥!|검색해보면 무언가 정보가 나올 거다냥!|＠
14|게릴라로 출현하는 특별 스테이지|「광란」시리즈를 알고 있냐냥?|엄청 엄청 어렵지만|클리어하면 무조건|슈퍼 레어 캐릭터를 얻을 수 있다냥!|＠
14|게릴라로 출현하는 특별 스테이지|「각성」시리즈는 아군 캐릭터가|진화된 모습으로 적으로써 등장한다냥!|클리어하면 아군 캐릭터를 제3형태로|진화시킬 수 있는 권한을 얻을 수 있다냥!|＠
14|게릴라로 출현하는 「사이클론」|스테이지는 클리어하면 가끔씩|한정 캐릭터를 획득할 수 있다냥!|만만치 않은 적이지만|분명히 약점이 있을 거다냥!|＠
14|뽑기에서 뽑은 캐릭터를|사용하여 파워 업하면|캐릭터들을 더욱더|강화시킬 수 있다냥!|＠|＠
14|「전설의 시작」부터 시작하는|레전드 스토리는 상급자용|스테이지다냥! 클리어할 수록|강력한 캐릭터를 손에 넣을 수 있는|찬스가 있다냥!|＠
15|이벤트 스테이지에 온 걸 환영해!|여기서는 기간 한정|특별 스테이지를 플레이할 수 있다냥!|＠|＠|＠
16|레전드에 온 걸 환영해!|여기서는 고난도의|스테이지가 산더미다냥|좀처럼 이길 수 없다면|다른 장에서 파워 업하자냥!|＠
