slot_font_size	18
slot_bg_y	100
slot_name_margin_top	2
slot_name_margin_left	11
slot_page_y_offset	31
slot_font_size2	14
slot_name_margin_top2	9
slot_name_margin_left2	10
battle_wave_s_st	20
battle_wave_s_inter	2
battle_wave_s_frame1	2
battle_wave_s_frame2	5
battle_slot_2lines_line	95
battle_slot_2lines_y	-15
battle_zoom_y	520
battle_zoom_slot_y	500
battle_zoom_castle_y	20
battle_slot_desc_wait	14
battle_death_volcano_time	21
battle_super_beast_hunter	2500
battle_super_beast_hunter_df	600
boost_speed	3
logo_gimmick_sec	20
logo_gimmick_probability	25
logo_gimmick_increase	10
battle_demon_summon_frame	50
battle_demon_summon_se_frame	18
battle_castle_x0	130
battle_castle_y0	-30
battle_castle_x1	-130
battle_castle_y1	-30
battle_castle_x2	0
battle_castle_y2	0
volume_percentage_s	20
volume_percentage_m	50
volume_percentage_l	100
