グリーンクリスタル ,エイリアン(スターあり)に対して,大幅に強くなる発動中！,
イエロークリスタル ,エイリアン(スターあり)に対して,大幅に強くなる発動中！,
オレンジクリスタル ,エイリアン(スターあり)に対して,大幅に強くなる発動中！,
ライトブルークリスタル ,エイリアン(スターあり)に対して,大幅に強くなる発動中！,
パープルクリスタル ,エイリアン(スターあり)に対して,大幅に強くなる発動中！,
鋼鉄の果実 ,メタルに対する,特殊能力効果アップ発動中！,
冥界の果実 ,ゾンビに対する,特殊能力効果アップ発動中！,
異星の果実 ,エイリアンに対する,特殊能力効果アップ発動中！,
ダークマター ,統率力の,最大値アップ発動中！,
ニュートリノ ,ステージクリア時の,経験値増加が発動中！,
謎のお面 ,宇宙編2章最終ステージで,効果を発揮する謎のお面,
？？？,発動に必要なお宝が,集まっていません,
？？？,全て集まればエイリアン(スターあり),に対して大幅に強くなる！,
？？？,全て集まればエイリアン(スターあり),に対して大幅に強くなる！,
？？？,全て集まればエイリアン(スターあり),に対して大幅に強くなる！,
？？？,全て集まればエイリアン(スターあり),に対して大幅に強くなる！,
？？？,全て集まればエイリアン(スターあり),に対して大幅に強くなる！,
？？？,全て集まればメタルに対して,特殊能力効果が大幅アップ！,
？？？,全て集まればゾンビに対して,特殊能力効果が大幅アップ！,
？？？,全て集まればエイリアンに対して,特殊能力効果が大幅アップ！,
？？？,全て集まれば統率力の,最大値が増加！,
？？？,全て集まればステージクリア時の,経験値が大幅アップ！,
？？？,？？？,　,
