＠,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「長崎県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「鹿児島県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「大分県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「愛媛県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「山口県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「鳥取県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「京都府」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第1章「福井県」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30で進化,＠,＠,＠,＠,＠,＠
日本編第2章「福岡県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼の女優襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「埼玉県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼のカンフー襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第2章「香川県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼のMr.襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「静岡県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼の猫縛り襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「新潟県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼の女王襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「京都府」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼の箱詰め襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第2章「東京都」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼のパンツ襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「西表島」クリア後に解放,＠,＠,Lv10で進化,＠,＠,合計Lv30到達後,必要数のXP、マタタビを使用で進化,＠,＠,＠,＠,＠
30日間ログインスタンプ達成で入手可能,＠,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼のリンリン襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「大分県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼の忍者襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
日本編第1章「鳥取県」クリア後,ネコカンで購入すると入手可能,＠,Lv10で進化,＠,＠,開眼イベントステージ,「開眼のゾンビ襲来！」でドロップ後,Lv20で進化,＠,＠,＠,＠
