0,挑戦するには,ひとつ前のマップを,クリアする必要があります,
1,挑戦するには,日本編第1章を,クリアする必要があります,
2,挑戦するには,日本編第2章を,クリアする必要があります,
3,挑戦するには,日本編第3章を,クリアする必要があります,
4,挑戦するには,未来編第1章を,クリアする必要があります,
5,挑戦するには,未来編第2章を,クリアする必要があります,
6,挑戦するには,未来編第3章を,クリアする必要があります,
7,挑戦するには,宇宙編第1章を,クリアする必要があります,
8,挑戦するには,宇宙編第2章を,クリアする必要があります,
9,挑戦するには,宇宙編第3章を,クリアする必要があります,
19,挑戦するには,狂乱ステージ(全9種類)を,全てクリアする必要があります,
20,挑戦するには,レジェンドストーリーを,全てクリアする必要があります,
25,挑戦するには,ユーザーランク1600以上を,達成する必要があります,
26,挑戦するには,3月・4月・5月イベントの3マップを,全てクリアする必要があります,
27,挑戦するには,6月・7月・8月イベントの3マップを,全てクリアする必要があります,
28,挑戦するには,9月・10月・11月イベントの3マップを,全てクリアする必要があります,
29,挑戦するには,12月・1月・2月イベントの3マップを,全てクリアする必要があります,
63,挑戦するには,第4、第6、第9、第10の使徒ステージ,全てクリアする必要があります,
64,挑戦するには,断罪天使クオリネル降臨と地獄門を,全てクリアする必要があります,
65,挑戦するには,女帝飛来と亡者デブウ降臨を,全てクリアする必要があります,
66,挑戦するには,チワワン伯爵降臨と夜は短し夢みよ乙女を,全てクリアする必要があります,
68,挑戦するには,時空のゆがみ・ネコたちの解放の2マップを,全てクリアする必要があります,
70,挑戦するには,魔界編の富士山を,クリアする必要があります,
71,挑戦するには,亡者デブウ降臨とブルーインパクトを,全てクリアする必要があります,
72,挑戦するには,女帝飛来と夜は短し夢みよ乙女を,全てクリアする必要があります,
73,挑戦するには,断罪天使クオリネル降臨とチワワン伯爵降臨を,全てクリアする必要があります,
108,挑戦するには,ガープラ密林を,全てクリアする必要があります,
109,挑戦するには,アシビニ砂漠を,全てクリアする必要があります,
110,挑戦するには,第5章 わんわん城の戦いの,ステージ1をクリアする必要があります,
111,挑戦するには,わんわん王国の異変,ステージ5をクリアする必要があります,
113,挑戦するには,奈落門とはじめてのお遣いを,全てクリアする必要があります,
114,挑戦するには,綺羅星ペロ降臨と死霊妖精クオリネム降臨を,全てクリアする必要があります,
115,挑戦するには,古王妃飛来と聖者ポプウ降臨を,全てクリアする必要があります,
120,挑戦するには,天下統一への道 ～前編～の,ステージ5をクリアする必要があります,
122,挑戦するには,天下統一への道 ～前編～の,ステージ1をクリアする必要があります,
123,挑戦するには,発進！エヴァンゲリオンの,ステージ1をクリアする必要があります,
124,挑戦するには,ねこのなつやすみ パラダイスの,ステージ1をクリアする必要があります,
127,挑戦するには,第1話 正義のヒーロー参上！の,ステージ1をクリアする必要があります,
128,挑戦するには,第6話 襲い来る黒幕の,ステージ1をクリアする必要があります,
