textID,テキスト内容
1,「攻撃力ダウン」の効果を解放します<br>レベルアップで攻撃力をダウンさせる時間が長くなります
2,「動きを止める」の効果を解放します<br>レベルアップで動きを止める時間が長くなります
3,「動きを遅くする」の効果を解放します<br>レベルアップで動きを遅くする時間が長くなります
4,「攻撃ターゲット限定」の効果を解放します
5,「めっぽう強い」の効果を解放します
6,「打たれ強い」の効果を解放します
7,「超ダメージ」の効果を解放します
8,「ふっとばす」の効果を解放します<br>レベルアップでふっとばす確率が上がります
9,「ワープ」の効果を解放します
10,体力低下で攻撃力が上がる能力を解放します<br>レベルアップで能力発動時の攻撃力が上がります
11,「生き残る」の能力を解放します<br>レベルアップで生き残る確率が上がります
12,「城破壊が得意」の能力を解放します
13,「クリティカル」の能力を解放します<br>レベルアップでクリティカルが発動する確率が上がります
14,「ゾンビキラー」の能力を解放します
15,「バリアブレイカー」の能力を解放します<br>レベルアップでバリアを破壊する確率が上がります
16,「撃破時お金アップ」の能力を解放します
17,「波動攻撃」の能力を解放します<br>レベルアップで波動攻撃を放つ確率が上がります
18,「攻撃力ダウン耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
19,「動きを止める耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
20,「動きを遅くする耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
21,「ふっとばし耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
22,「波動ダメージ耐性」の能力を解放します<br>レベルアップで波動で受けるダメージをさらに軽減します
23,「波動ストッパー」の能力を解放します
24,「ワープ耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
25,「古代の呪い無効」の能力を解放します
26,「古代の呪い耐性」の能力を解放します<br>レベルアップで受けた効果をさらに軽減します
27,キャラクターの基本体力が上がります<br>レベルアップでさらに体力が上がります
28,キャラクターの基本攻撃力が上がります<br>レベルアップでさらに攻撃力が上がります
29,キャラクターの移動速度が上がります<br>レベルアップでさらに速度が上がります
30,キャラクターのノックバック回数が増加します<br>レベルアップでさらに回数が増加します
31,キャラクターの生産コストを減少します<br>レベルアップでさらにコストが減少します
32,キャラクターの生産スピードが上がります<br>レベルアップでさらにスピードが上がります
33,効果のターゲットに赤い敵を追加します
34,効果のターゲットに浮いてる敵を追加します
35,効果のターゲットに黒い敵を追加します
36,効果のターゲットにメタルな敵を追加します
37,効果のターゲットに天使を追加します
38,効果のターゲットにエイリアンを追加します
39,効果のターゲットにゾンビを追加します
40,効果のターゲットに古代種を追加します
41,効果のターゲットに属性を持たない敵を追加します
42,「攻撃力ダウン」の効果を強化します<br>レベルアップで攻撃力をダウンさせる時間が長くなります
