Più attacco %@: %@	Danni a %@ aumentati.
Aumento difesa %@: %@	Danni da %@ diminuiti.
Effetto Efficace + %@: %@	Effetto Efficace migliorerà vs %@
Danni enormi + %@: %@	I danni miglioreranno vs %@
Effetto Forte + %@: %@	Resistenza agli attacchi di %@ migliorerà.
Mini valanga della morte %@	Scatena mini valanga alla sconfitta.<br>Disponibile dopo 2 schieramenti (non cumulabile)
Resistente a danni da ondate %@	Riduce i danni dalle ondate nemiche.
Rimborso %@	Recupera parte del costo di schieram. di un Gatto caduto.<br>Disponibile dopo 2 schieramenti
Resistente a respinta %@	Riduce la respinta degli attacchi nemici.
Potenzia Saghe leggendarie %@	Più salute e potenza d'att. nelle<br>Saghe leggendarie (non cumulabile)
Ammazzagiganti %@	Ammazzagiganti disponibile dopo ogni<br>2 schieramenti (non cumulabile)
Ricarica cannone felino %@	Sconfitto un gatto, ricarica il cannone.<br>Si attiva dopo 2 schieramenti<br>(non cumulabile)
Resistente a veleno %@	Riduce i danni dagli attacchi velenosi.
Schiva attacchi (tutti) %@	A schieramenti alterni garantisce al Gatto<br>l'abilità Schiva attacchi (tutti). (Non accomulabile)
Resistente a rallentamento %@	Riduce i danni nemici da rallentamento.
Resistente a maledizioni %@	Riduce i danni da maledizioni nemiche.
Potenzia leggende misteriose %@	Più salute e potenza d'attacco<br>in leggende misteriose (non cumulabile)
