id,unlock_stage_id,MapConditions,unlock_mission_id,unlock_userrank,Unlock_Condition,challenge_days,lock_stage_id,lock_mission_id,lock_userrank
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,300000,-1,-1,-1,-1,-1,-1,-1,-1
2,300006,-1,-1,-1,-1,-1,-1,-1,-1
3,300010,-1,-1,-1,-1,-1,-1,-1,-1
4,300013,-1,-1,-1,-1,-1,-1,-1,-1
5,300015,-1,-1,-1,-1,-1,-1,-1,-1
6,300022,-1,-1,-1,-1,-1,-1,-1,-1
7,300031,-1,-1,-1,-1,-1,-1,-1,-1
8,300038,-1,-1,-1,-1,-1,-1,-1,-1
9,300047,-1,-1,-1,-1,-1,-1,-1,-1
10,300147,-1,-1,-1,-1,-1,-1,-1,-1
11,300247,-1,-1,-1,-1,-1,-1,-1,-1
12,300347,-1,-1,-1,-1,-1,-1,-1,-1
13,300447,-1,-1,-1,-1,-1,-1,-1,-1
14,300547,-1,-1,-1,-1,-1,-1,-1,-1
15,300047,-1,-1,-1,-1,-1,300247,-1,-1
16,300044,-1,-1,-1,-1,-1,-1,-1,-1
17,700028,-1,-1,-1,-1,-1,-1,-1,-1
18,700038,-1,-1,-1,-1,-1,-1,-1,-1
19,300647,-1,-1,-1,-1,-1,-1,-1,-1
20,300747,-1,-1,-1,-1,-1,-1,-1,-1
21,300847,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,17001,-1,-1,-1,-1,-1,-1
23,-1,-1,17002,-1,-1,-1,-1,-1,-1
24,-1,-1,17003,-1,-1,-1,-1,-1,-1
25,-1,-1,17004,-1,-1,-1,-1,-1,-1
26,-1,-1,17005,-1,-1,-1,-1,-1,-1
27,-1,-1,17006,-1,-1,-1,-1,-1,-1
28,-1,-1,17007,-1,-1,-1,-1,-1,-1
29,700048,-1,-1,-1,-1,-1,-1,-1,-1
30,4800,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,1,-1,-1,-1,-1,-1,-1
32,-1,-1,9212,-1,-1,-1,-1,-1,-1
33,-1,-1,42,-1,-1,-1,-1,-1,-1
34,126800,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,9288,-1,-1,-1,-1,-1,-1
36,-1,-1,9289,-1,-1,-1,-1,-1,-1
37,-1,-1,9290,-1,-1,-1,-1,-1,-1
38,-1,-1,9291,-1,-1,-1,-1,-1,-1
39,-1,-1,9295,-1,-1,-1,-1,-1,-1
40,-1,-1,9296,-1,-1,-1,-1,-1,-1
41,-1,-1,9297,-1,-1,-1,-1,-1,-1
42,-1,-1,9298,-1,-1,-1,-1,-1,-1
43,700039,-1,-1,-1,-1,-1,-1,-1,-1
44,404200,-1,-1,-1,-1,-1,-1,-1,-1
45,-1,-1,9161,-1,-1,-1,-1,-1,-1
46,-1,-1,9162,-1,-1,-1,-1,-1,-1
47,-1,-1,9163,-1,-1,-1,-1,-1,-1
48,-1,-1,9164,-1,-1,-1,-1,-1,-1
49,-1,-1,9165,-1,-1,-1,-1,-1,-1
50,-1,-1,9166,-1,-1,-1,-1,-1,-1
51,-1,-1,9211,-1,-1,-1,-1,-1,-1
52,-1,-1,48,-1,-1,-1,-1,-1,-1
53,-1,-1,49,-1,-1,-1,-1,-1,-1
54,-1,-1,50,-1,-1,-1,-1,-1,-1
55,-1,-1,51,-1,-1,-1,-1,-1,-1
56,700629,-1,-1,-1,-1,-1,-1,-1,-1
57,-1,-1,52,-1,-1,-1,-1,-1,-1
58,-1,-1,53,-1,-1,-1,-1,-1,-1
59,-1,-1,56,-1,-1,-1,-1,-1,-1
60,1304800,-1,-1,-1,-1,-1,-1,-1,-1
61,-1,-1,57,-1,-1,-1,-1,-1,-1
62,-1,-1,58,-1,-1,-1,-1,-1,-1
63,-1,-1,60,-1,-1,-1,-1,-1,-1
64,700639,-1,-1,-1,-1,-1,-1,-1,-1
65,1300000,-1,-1,-1,-1,-1,-1,-1,-1
66,-1,-1,9493,-1,-1,-1,-1,-1,-1
67,-1,-1,9494,-1,-1,-1,-1,-1,-1
68,-1,-1,9495,-1,-1,-1,-1,-1,-1
69,119901,-1,-1,-1,-1,-1,-1,-1,-1
70,121401,-1,-1,-1,-1,-1,-1,-1,-1
71,120701,-1,-1,-1,-1,-1,-1,-1,-1
72,119601,-1,-1,-1,-1,-1,-1,-1,-1
73,120101,-1,-1,-1,-1,-1,-1,-1,-1
74,120501,-1,-1,-1,-1,-1,-1,-1,-1
75,-1,119,-1,-1,-1,-1,-1,-1,-1
76,3700702,-1,-1,-1,-1,-1,-1,-1,-1
77,3700802,-1,-1,-1,-1,-1,-1,-1,-1
78,3700900,-1,-1,-1,-1,-1,-1,-1,-1
79,3701001,-1,-1,-1,-1,-1,-1,-1,-1
80,1301105,-1,-1,-1,-1,-1,-1,-1,-1
81,1302005,-1,-1,-1,-1,-1,-1,-1,-1
82,1303505,-1,-1,-1,-1,-1,-1,-1,-1
83,1304205,-1,-1,-1,-1,-1,-1,-1,-1
84,1304800,-1,-1,-1,-1,-1,-1,-1,-1
85,3400000,-1,-1,-1,-1,-1,-1,-1,-1
86,300046,-1,-1,-1,-1,-1,-1,-1,-1
87,-1,121,-1,-1,-1,-1,-1,-1,-1
88,701028,-1,-1,-1,-1,-1,-1,-1,-1
89,701038,-1,-1,-1,-1,-1,-1,-1,-1
90,701048,-1,-1,-1,-1,-1,-1,-1,-1
91,-1,-1,-1,-1,-1,14,-1,-1,-1
92,-1,-1,9599,-1,91,-1,-1,-1,-1
93,-1,-1,9600,-1,91,-1,-1,-1,-1
94,-1,-1,9601,-1,91,-1,-1,-1,-1
95,-1,-1,9602,-1,91,-1,-1,-1,-1
96,-1,-1,9603,-1,91,-1,-1,-1,-1
97,-1,-1,9604,-1,91,-1,-1,-1,-1
