MapID,Level,StageNo,HintPopapuLabel,MEMO
37000,0,1,hint_popup000,にゃんこ道検定★1マップ2ステージ目ヒントテキスト
37001,0,1,hint_popup001,にゃんこ道検定★2マップ2ステージ目ヒントテキスト
37002,0,0,hint_popup002,にゃんこ道検定★3マップ1ステージ目ヒントテキスト
37003,0,0,hint_popup003,にゃんこ道検定★4マップ1ステージ目ヒントテキスト
37004,0,0,hint_popup004,にゃんこ道検定★5マップ1ステージ目ヒントテキスト
37004,0,2,hint_popup005,にゃんこ道検定★5マップ3ステージ目ヒントテキスト
37005,0,0,hint_popup006,にゃんこ道検定★6マップ1ステージ目ヒントテキスト
37006,0,0,hint_popup008,にゃんこ道検定★7マップ1ステージ目ヒントテキスト
37007,0,1,hint_popup004,にゃんこ道検定★8マップ3ステージ目ヒントテキスト
37008,0,0,hint_popup007,にゃんこ道検定★9マップ1ステージ目ヒントテキスト
