パワーアップ画面が登場,メインメニューから,選べるようになりました！,戦闘に出陣できるようになります。,＠,
キャラクター編成が登場しました！,編成画面でキャラを選択することで,戦闘に出陣できるようになります。,＠,
お宝が解放！！,各地に眠るお宝を集めて,強力な特殊効果を発動させるのだ！,＠,,,
敵キャラ図鑑が解放されました！,今までの出現した敵キャラの,プロフィールを見ることができます,＠,,,
「アイテムショップ」が解放されました！,ステージクリアに役立つ,さまざまなアイテムを,購入することができます。,,,
ネコカン購入画面が登場,メインメニューから,選べるようになりました！,＠,
戦闘中に神のチカラを発動させることが,できるようになりました！,困ったときは助けてもらおう！,＠,,
にゃんこ図鑑が解放されました！,取得したにゃんこたちの,プロフィールを見ることができます,＠,,,
ガマトト探検隊が解放されました！,ガマトトを探検させると,いろんなアイテムを取得することができます,＠,,,
「アイテムショップ」に新商品が追加！,ガマトト探検隊で役立つアイテムを,購入することができます,＠,,
レベル上限解放！,キャッツアイを使って、さらにキャラクターの,レベル上限を解放することができます,＠, , ,
マタタビ貯蔵庫が解放！,進化に必要なマタタビを貯めることが可能！,ネコ基地の貯蔵庫から使用できます,＠, , ,
録画機能を使えるようになりました！！,タイトル画面の「オプション」で自動録画を,ＯＮにすると戦闘開始時に自動録画スタート！,戦闘終了すると自動で録画が停止されます,＠, ,
共有動画を観にいけるようになりました！！,タイトルオプション、ネコ基地のメニューから,確認することができます,＠, , ,
ネコ道場が解放されました！！,ネコ道場のステージに挑戦して,腕試ししてみよう！,＠, , ,
