GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID
0	0	23	2	0	0	4
1	0	24	2	0	1	4
2	0	25	2	0	2	4
3	0	26	2	0	0	4
4	0	27	2	0	0	4
5	0	28	2	0	0	4
6	0	45	2	0	0	4
7	0	46	2	0	0	4
8	0	47	2	0	0	4
9	0	48	2	0	0	4
10	0	49	2	0	0	4
11	0	75	2	0	0	4
12	0	111	4	0	3	4
13	1	137	4	0	3	4
14	0	158	5	0	4	4
15	1	162	6	0	5	4
16	1	163	6	0	6	4
17	1	185	6	0	7	4
18	0	166	6	0	8	4
19	0	172	6	0	9	4
20	1	173	5	0	4	4
21	1	178	6	0	10	4
22	0	185	6	0	7	4
23	1	186	6	0	8	4
24	1	195	6	0	9	4
25	0	163	6	0	6	4
26	1	196	5	0	4	4
