Je vais te montrer un miracle,| un joli miracle. Abracadakazam !|
Allez,|choisis ce qui te plaît.|
Pas de stress,|j’ai tout mon temps.|
Tu n’as pas encore pris ta décision ?|Toujours aussi miaou du genou.|
Oh pardon, je m’étais assoupi.||
Oh pardon, je t’écoutais plus.||
Tout le monde aime le romantisme, même moi.|Mais pas tous les jours.|
Si tu as du Miam,|les miracles sont au rendez-vous.|
Parfois, ça me fatigue que tout|le monde compte sur moi.|
Là, maintenant ? Vraiment ?|J’suis occupé, quoi...|
Qu’est-ce qu’il y a encore ?|Oh, c’est encore toi.|
Il paraît que les hommes gardent la tête haute.|Genre, à bout de bras ? Vous êtes chelou.|
Vous avez pas d’ailes ? Oh, non en fait.|Si vous en aviez, ce serait trop moche.|
C’est pas trop dur d’être un dieu.|Plutôt facile, tu sais.|
Les gens me trouvent plutôt canon.|Tu en penses quoi ?|
C’est de l’amour, reconnais-le.||
Tu connais l’âge de la retraite de ce boulot ?|Je me demande bien ce que je ferai...|
Bon, tu sais, quand je suis en colère...|Tout le monde souffre.|
Les Miam ?|Je peux faire avec.|
Dieu assure un max...|Si je puis me permettre.|
Ce miracle-là, ça fait combien de fois ?||
Hein, quoi... Encore celui-là ?||
Sans blague, vraiment ?|Tu dois... vraiment l’adorer, hein ?|
L’univers et moi... nous ne faisons qu’un.|Ah ? Oui, ça fait juste moi alors.|
Même Dieu a des goûts.||
Les secrets de Dieu ?|Eh bien... C’est un secret.|
Quand je te regarde,|je me souviens de ma jeunesse.|
Ouais, tu veux devenir célèbre.||
L’argent est le meilleur des avocats.||
La nudité. Voici l’uniforme de Dieu.||
Alors, je suis génial ou pas ?||
Je veux aimer plutôt qu’être aimé.|Non, sérieusement.|
Quantité de Miam = quantité de foi.||
