＠|＠|＠|						//「0」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv3|을 달성해야 합니다|						//「1」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv6|을 달성해야 합니다|						//「2」の時の解放文章
이 지역을 탐험하기 위해서는|유저랭크600과 가마토토 Lv10|을 달성해야 합니다|						//「3」の時の解放文章
이 지역을 탐험하기 위해서는|유저랭크 900과 가마토토 Lv14|를 달성해야 합니다|						//「4」の時の解放文章
이 지역을 탐험하기 위해서는|유저랭크1600과 가마토토 Lv19|를 달성해야 합니다|						//「5」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토Lv24|를 달성해야 합니다|						//「6」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv30|을 달성해야 합니다|						//「7」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv36|을 달성해야 합니다|						//「8」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv43|을 달성해야 합니다|						//「9」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv50|을 달성해야 합니다|						//「10」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv58|을 달성해야 합니다|						//「11」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv67|을 달성해야 합니다|						//「12」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv72|를 달성해야 합니다|						//「13」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv83|을 달성해야 합니다|						//「14」の時の解放文章
이 지역을 탐험하기 위해서는|가마토토 Lv88|을 달성해야 합니다|//「15」の時の解放文章
이 지역을 탐험하기 위해서는|유저랭크 5000과 가마토토 Lv50|을 달성해야 합니다|//「16」の時の解放文章
