강력 영양드링크|일 고양이의|머니 생산량 대폭 증가!|
거대 금고|일 고양이의|지갑용량 대폭 증가!|
시간단축 시계|아군 캐릭터의|생산 스피드 대폭 증가!|
현자의 돌|스테이지 클리어 시|경험치 증가!|
New 메트리얼 월|아군의 성 체력|대폭 증가!|
슈퍼 레지스터|적을 물리칠 때마다 얻는|머니 증가!|
전설의 냥코실드|아군 캐릭터의 체력이|초 대폭 증가!|
전설의 냥코소드|아군 캐릭터의 공격력이|초 대폭 증가!|
신 에너지 코어|냥코 대포의|공격력 증가!|
터보머신|냥코 대포의|충전 스피드 증가!|
매니지먼트의 성서|통솔력|최대치 증가!|
???|발동에 필요한 보물이|모이지 않았습니다|
???|전부 모이면 전투 중의|머니 생산량이 대폭 업!|
???|전부 모이면 전투 중의|머니 용량이 대폭 업!|
???|전부 모이면 전투 중의|캐릭터 생산 스피드가 단축!|
???|전부 모이면 스테이지 클리어 시의|경험치가 대폭 업!|
???|전부 모이면|성 체력이 대폭 업!|
???|전부 모이면 적을 쓰러뜨릴 때마다|얻을 수 있는 머니가 대폭 업!|
???|전부 모이면 캐릭터의|체력이 초 대폭 업!|
???|전부 모이면 캐릭터의|공격력이 초 대폭 업!|
???|전부 모이면 냥코 대포의|공격력이 대폭 업!|
???|전부 모이면 냥코 대포의|충전 시간이 단축!|
???|전부 모이면 통솔력의|최대치가 증가!|
