			0	22	777	300	0
		ごめんにゃ。用事が出来たから<br>また次の機会にお願いするにゃ！<br>途中まで付き合ってくれた<br>お礼にこれあげるにゃ！	0	22	300	
1	0	にゃんこからのお願い<br>きいてくれるにゃ？<br>お願いをきいてくれたら<br><flash>ネコカン</flash>たっぷりあげるにゃ！	2	3		
2	0	にゃんこ7周年の<br>大盤振る舞いにゃ～！	4			
3	0	そんにゃ～<br>意地悪ぅ～<br>考え直してほしいにゃ～	0
4	0	７周年がんばった<br>そんながんばりやさんの<br>にゃんこからの<br>一生のお願いなのにゃ	5		
5	0	お友達に「にゃんこ大戦争」を<br>おすすめしてほしいのにゃ～	6	3		
6	0	まだプレイしたことない<br>お友達や前やってたけど<br>やめちゃった人<br>きっといるにゃ？	8	7		
7	0	胸に手を当てて<br>考えてみるにゃ<br>きっといるはずにゃ	8	8		
8	0	タイトル画面のオプションの中に<br>「友達招待」ってボタンが<br>あるからお友達に<br>おすすめしてほしいにゃ	9	9		
9	0	良く分からない子は<br>学校でお友達ににゃんこ大戦争を<br>おすすめしてほしいにゃ！	11	10		
10	0	そんなこと言わないで<br>おすすめしてほしいにゃ～	11	3		
11	0	ありがとうにゃ！<br>それじゃまたあした<br>どんな反応だったか<br>教えてほしいにゃ	12
12	0	それじゃ大事なことだから<br>もう一回言うにゃ	13	15
13	0	タイトル画面のオプションの中に<br>「友達招待」ってボタンが<br>あるからお友達に<br>おすすめしてほしいにゃ	14
14	0	じゃお願いにゃ～<br>分からなかったら<br>直接お友達にオススメして<br>くれてもうれしいにゃ！	16
15	0	言わせてほしいにゃ・・	13
16	0	にゃんことの約束にゃ！<br>絶対にゃ～！<br>じゃ一日たったら<br>また来てほしいにゃ	17
17	20	またあしたにゃ～	100			
100	0	よく来てくれたにゃ！<br>お友達はにゃんこ大戦争で<br>遊んでくれてたにゃ？	101	110		
101	0	うれしいにゃ！<br>持つべきものは友にゃ！	102
102	0	楽しいって<br>言ってくれてたにゃ？	103	109	
