＠,＠,＠,＠,＠,＠,＠,			//ネコ
＠,＠,＠,＠,＠,＠,＠,			//タンクネコ
＠,＠,＠,＠,＠,＠,＠,			//バトルネコ
＠,＠,＠,＠,＠,＠,＠,			//キモネコ
＠,＠,＠,＠,＠,＠,＠,			//ウシネコ
＠,＠,＠,＠,＠,＠,＠,			//ネコノトリ
＠,＠,＠,＠,＠,＠,＠,			//ネコフィッシュ
＠,＠,＠,＠,＠,＠,＠,			//ネコトカゲ
＠,＠,＠,＠,＠,＠,＠,			//巨神ネコ
＠,＠,＠,＠,＠,＠,＠,			//ネコ女優
＠,＠,＠,＠,＠,＠,＠,			//カンフーにゃんこ
＠,＠,＠,＠,＠,＠,＠,			//Mr.
＠,＠,＠,＠,＠,＠,＠,			//猫縛り
＠,＠,＠,＠,＠,＠,＠,			//女王猫
＠,＠,＠,＠,＠,＠,＠,			//ネコの箱詰め
＠,＠,＠,＠,＠,＠,＠,			//ネコパンツ
第３形態への進化で体力が上昇！,さらにクリティカル率が上昇し,小波動攻撃を取得！,＠,第３形態への進化で体力が上昇！,さらにクリティカル率が上昇し,小波動攻撃を取得！,			//もねこ
＠,＠,＠,＠,＠,＠,＠,			//ネコリンリン
＠,＠,＠,＠,＠,＠,＠,			//ネコ忍者
＠,＠,＠,＠,＠,＠,＠,			//ネコゾンビ
＠,＠,＠,＠,＠,＠,＠,			//ネコざむらい
＠,＠,＠,＠,＠,＠,＠,			//スモウネコ
＠,＠,＠,＠,＠,＠,＠,			//ネコフィーバー
＠,＠,＠,＠,＠,＠,＠,			//ネコスカート
＠,＠,＠,＠,＠,＠,＠,			//ネコヴァルキリー
＠,＠,＠,＠,＠,＠,＠,			//ネコムート
＠,＠,＠,＠,＠,＠,＠,			//ケリ姫
＠,＠,＠,＠,＠,＠,＠,			//ネコひめ
＠,＠,＠,＠,＠,＠,＠,			//ネコカプセル
＠,＠,＠,＠,＠,＠,＠,			//マスクオブネコ
第３形態への進化で射程が上昇！,さらに浮いてる敵の攻撃力を,たまにダウンさせる能力を新たに取得！,＠,第３形態への進化で射程が上昇！,さらに浮いてる敵の攻撃力を,たまにダウンさせる能力を新たに取得！,			//ネコぼさつ
第３形態で全体的にパワーアップ！,さらに、古代種の動きも止めるようになり,味方の効果を封じる古代の呪いを無効化！,＠,第３形態で全体的にパワーアップ！,さらに、古代種の動きも止めるようになり,味方の効果を封じる古代の呪いを無効化！,			//ネコ番長
第３形態への進化で体力と攻撃力上昇！,さらにワープ無効能力を取得し、,赤い敵の動きを遅くしやすくなる！,＠,第３形態への進化で体力と攻撃力上昇！,さらにワープ無効能力を取得し、,赤い敵の動きを遅くしやすくなる！,			//ネコザイル
第３形態への進化で攻撃速度は低下するが,攻撃力が上昇！さらに波動を打ち消し,波動ダメージも無効化する能力を取得！,＠,第３形態への進化で攻撃速度は低下するが,攻撃力が上昇！さらに波動を打ち消し,波動ダメージも無効化する能力を取得！,			//ねこタツ
