ブルークリスタル ,エイリアン属性を持つ敵に対して,大幅に強くなる発動中！,
レッドクリスタル ,エイリアン属性を持つ敵に対して,大幅に強くなる発動中！,
古代の石版 ,お城の体力が,大幅アップ発動中！,
未知なる力 ,にゃんこ砲の,チャージ時間大幅短縮！(上限あり),
宇宙エネルギー ,にゃんこ砲の,攻撃力アップ発動中！,
暗黒の果実 ,黒い敵に対する,特殊能力効果アップ発動中！,
紅血の果実 ,赤い敵に対する,特殊能力効果アップ発動中！,
飛翔の果実 ,浮いてる敵に対する,特殊能力効果アップ発動中！,
天界の果実 ,天使に対する,特殊能力効果アップ発動中！,
タイムマシン ,統率力の,回復速度アップ発動中！,
未来テクノロジー ,統率力の,最大値アップ発動中！,
？？？,発動に必要なお宝が,集まっていません,
？？？,全て集まればエイリアン属性に対して,大幅に強くなる！,
？？？,全て集まればエイリアン属性に対して,大幅に強くなる！,
？？？,全て集まれば,お城の体力が大幅アップ！,
？？？,全て集まればにゃんこ砲の,チャージ時間を大幅短縮！,
？？？,全て集まればにゃんこ砲の,攻撃力が大幅アップ！,
？？？,全て集まれば黒い敵に対して,特殊能力効果が大幅アップ！,
？？？,全て集まれば赤い敵に対して,特殊能力効果が大幅アップ！,
？？？,全て集まれば浮いてる敵に対して,特殊能力効果が大幅アップ！,
？？？,全て集まれば天使に対して,特殊能力効果が大幅アップ！,
？？？,全て集まれば統率力の,回復速度大幅アップ！,
？？？,全て集まれば統率力の,最大値が増加！,
