夢の世界 Lv.1,夢の世界 Lv.2,夢の世界 Lv.3,夢の世界 Lv.4,夢の世界 Lv.5,夢の世界 Lv.6,夢の世界 Lv.7,夢の世界 Lv.8,夢の世界 Lv.9,夢の世界 Lv.10,夢の世界 Lv.11,夢の世界 Lv.12,夢の世界 Lv.13,夢の世界 Lv.14,夢の世界 Lv.15,夢の世界 Lv.16,夢の世界 Lv.17,夢の世界 Lv.18,夢の世界 Lv.19,夢の世界 Lv.20,＠
①読まない作り方,②お湯張り線探し,③小袋出さずにお湯投入,④足りないお湯,⑤うっかりかやく忘れ,⑥温め逃したソース,⑦勝手に開くフタ,⑧何分たったっけ？,⑨流しがべこっ,⑩シンクへ放たれる麺,⑪フタ裏にかやく,⑫失踪!青のり袋,⑬貰い忘れた割りばし,⑭混ぜる手にこもる力,⑮沈みゆくかやく,⑯むせる一口目,⑰曇るメガネ,⑱笑顔に光る青のり,⑲手に残るにおい,⑳ごちそうさま！,＠
天魔界 Lv.1,天魔界 Lv.2,天魔界 Lv.3,天魔界 Lv.4,天魔界 Lv.5,天魔界 Lv.6,天魔界 Lv.7,天魔界 Lv.8,天魔界 Lv.9,天魔界 Lv.10,天魔界 Lv.11,天魔界 Lv.12,天魔界 Lv.13,天魔界 Lv.14,天魔界 Lv.15,天魔界 Lv.16,天魔界 Lv.17,天魔界 Lv.18,天魔界 Lv.19,天魔界 Lv.20,＠
天聖界 Lv.1,天聖界 Lv.2,天聖界 Lv.3,天聖界 Lv.4,天聖界 Lv.5,天聖界 Lv.6,天聖界 Lv.7,天聖界 Lv.8,天聖界 Lv.9,天聖界 Lv.10,天聖界 Lv.11,天聖界 Lv.12,天聖界 Lv.13,天聖界 Lv.14,天聖界 Lv.15,天聖界 Lv.16,天聖界 Lv.17,天聖界 Lv.18,天聖界 Lv.19,天聖界 Lv.20,＠
癒術士と仲間たち Lv.1,癒術士と仲間たち Lv.2,癒術士と仲間たち Lv.3,癒術士と仲間たち Lv.4,癒術士と仲間たち Lv.5,癒術士と仲間たち Lv.6,癒術士と仲間たち Lv.7,癒術士と仲間たち Lv.8,癒術士と仲間たち Lv.9,癒術士と仲間たち Lv.10,癒術士と仲間たち Lv.11,癒術士と仲間たち Lv.12,癒術士と仲間たち Lv.13,癒術士と仲間たち Lv.14,癒術士と仲間たち Lv.15,癒術士と仲間たち Lv.16,癒術士と仲間たち Lv.17,癒術士と仲間たち Lv.18,癒術士と仲間たち Lv.19,癒術士と仲間たち Lv.20,＠
1st Song,2nd Song,3rd Song,4th Song,5th Song,6th Song,7th Song,8th Song,9th Song,10th Song,11th Song,12th Song,13th Song,14th Song,15th Song,16th Song,17th Song,18th Song,19th Song,Last Song,＠
006-00,006-01,006-02,006-03,006-04,006-05,006-06,006-07,006-08,006-09,006-10,006-11,006-12,006-13,006-14,006-15,006-16,006-17,006-18,006-19,＠
警戒Lv.1,警戒Lv.2,警戒Lv.3,警戒Lv.4,警戒Lv.5,警戒Lv.6,警戒Lv.7,警戒Lv.8,警戒Lv.9,警戒Lv.10,警戒Lv.11,警戒Lv.12,警戒Lv.13,警戒Lv.14,警戒Lv.15,警戒Lv.16,警戒Lv.17,警戒Lv.18,警戒Lv.19,警戒Lv.20,＠
対決！PART.1,対決！PART.2,対決！PART.3,対決！PART.4,対決！PART.5,対決！PART.6,対決！PART.7,対決！PART.8,対決！PART.9,対決！PART.10,対決！PART.11,対決！PART.12,対決！PART.13,対決！PART.14,対決！PART.15,対決！PART.16,対決！PART.17,対決！PART.18,対決！PART.19,対決！PART.20,＠
舞台装置の魔女 1周目,舞台装置の魔女 2周目,舞台装置の魔女 3周目,舞台装置の魔女 4周目,舞台装置の魔女 5周目,舞台装置の魔女 6周目,舞台装置の魔女 7周目,舞台装置の魔女 8周目,舞台装置の魔女 9周目,舞台装置の魔女 XX周目,＠
出馬表チェックは入念に,天気には人一倍敏感,競馬新聞とにらめっこ,一度は当てたい万馬券,パドックで馬の調子を熟考,血統の知識は一級品,ラッキーナンバー頼み,オッズに踊らされる,財布はなぜか小銭だけ,迫る馬券発売の締切,追いつけ追い越せ引っこ抜け,逃げ馬たちの逆噴射,大番狂わせの大波乱,最後尾から驚異的な末脚,最後はスタミナ勝負,ハナ差で決着の超接戦,ハラハラ写真判定,買った馬券を三度見,まさかの同着に大興奮,来週もまた観ます,＠
攻城戦 Lv.1,攻城戦 Lv.2,攻城戦 Lv.3,攻城戦 Lv.4,攻城戦 Lv.5,攻城戦 Lv.6,攻城戦 Lv.7,攻城戦 Lv.8,攻城戦 Lv.9,攻城戦 Lv.10,攻城戦 Lv.11,攻城戦 Lv.12,攻城戦 Lv.13,攻城戦 Lv.14,攻城戦 Lv.15,攻城戦 Lv.16,攻城戦 Lv.17,攻城戦 Lv.18,攻城戦 Lv.19,攻城戦 Lv.MAX,＠
