15,-1,30,-1,-1,    //マップ番号 0～15
2,	//マップパターン 0～
30,600,3,99,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,8000,2,1,5000,6,25000,500,11,1,-1,			//1ステージ
60,1800,30,99,31,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,7500,2,2,4000,6,75000,500,11,1,-1,			//2ステージ
90,2700,3,99,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,6000,1,1,4000,6,150000,500,12,1,-1,		//3ステージ

//メルクストーリア第３弾
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
