0|0|Avec des Miam, tout est possible.
0|0|La clé de tes désirs est dans ta poche...
0|0|Les 7 orbes exauceront tous tes vœux.
0|1|Le chaos-mètre est au maximum !
0|1|Les Chats diplômés te guideront vers le succès !
0|1|Tu auras les meilleures notes à Nyarvard !
0|2|Une mystérieuse jeune femme descendra du ciel !
0|2|Les 7 dieux de la chance t’apparaîtront !
0|2|Tu vas recevoir 100 invités !
0|3|Le marché immobilier va connaître un boum !
0|3|Absolument tout te profitera !
0|3|Il est temps d’encaisser tes Chats dorés.
0|4|... Oublie tout ça et danse avec moi !
0|4|Dans cette réalité temporelle, tu n’as rien perdu.
0|4|N’oublie pas : l’honnêteté est le meilleur choix.
0|5|Cherche un trésor enfoui dans ton jardin.
0|5|Gamatoto va découvrir une formidable source chaude.
0|5|Tu vas clairement choisir les chiffres gagnants au loto.
0|6|Tes talents cachés vont bientôt se révéler.
0|6|Ton voyage au secours du monde va bientôt commencer.
0|6|Ta chaîne va avoir un million d’abonnés.
0|7|Il est temps d’agir. Maintenant !
0|7|La force ultime est à ta portée !
0|7|Tes victoires seront décisives.
0|8|Le Chaman a ce qu’il faut pour te guérir.
0|8|Le seul remède est de devenir un cyborg.
0|8|Tu vas rester en bonne santé... probablement.
0|9|Bientôt, tu vas résoudre l’énigme de l’amour.
0|9|Avec le printemps viendra une nouvelle rencontre.
0|9|Écris une lettre d’amour avec du jus de citron.
1|0|Tu dois croire au pouvoir des Chats !
1|0|Tu peux manger autant de haricots que tu veux.
1|0|Trois étoiles filantes et le Dieu des Chats t’écoutera.
1|1|Tu découvriras bientôt le secret de la motivation.
1|1|Il va falloir te donner à 100 %.
1|1|N’oublie pas ce que t’a enseigné le Professeur Ours !
1|2|Ça va être facile pour toi... trop facile...
1|2|N’oublie pas : la chance se déplace en tricycle.
1|2|Tu vas courir le 100 mètres en 9 secondes.
1|3|Tu auras du succès dans un domaine populaire.
1|3|Tu vas faire des erreurs, mais tu t’en sortiras bien.
1|3|Ces Chagrumes épiques se vendent très bien...
1|4|Ce que tu as perdu est déjà dans la base féline.
1|4|Quelque chose se cache dans la réserve.
1|4|Ce que tu rejettes ne manquera pas de revenir.
1|5|Tu vas trouver un billet de 20 euros dans ton blouson.
1|5|N’oublie pas de faire la vaisselle !
1|5|Certaines choses comptent plus que l’argent.
1|6|Pourquoi ne pas investir dans un second foyer ?
1|6|Arnaque les arnaqueurs avant de te faire arnaquer.
1|6|Tu vas rencontrer des Chats charmants du voisinage.
1|7|Dans tout conflit réside le vide.
1|7|Le maître véritable connaît toujours son ennemi.
1|7|Ne compte pas que sur les ultra rares, d’accord ?
1|8|Une bonne nuit de sommeil guérit de tout.
1|8|Un jour, toi aussi tu auras des rhumatismes.
1|8|N’oublie pas de prendre tes vitamines.
1|9|Tu peux péter les plombs. Tu as le droit.
1|9|Il y a toujours une autre bataille à gagner.
1|9|La douleur du rejet disparaîtra avec le temps.
2|0|Tu vas oublier ton souhait, puis il va se réaliser.
2|0|N’oublie pas de prendre des notes.
2|0|Fais preuve de générosité !
