100000|1
150000|1|Il mondo è diventato un po' più pacifico.
200000|1|Domani non dormirai troppo.
250000|1|L'oggetto che hai smarrito è dietro il divano.
300000|1|Il tuo sguardo è di feroce determinazione.
350000|1|La tua vista migliorerà leggermente.
400000|1|Ti ricordi della capsula del tempo che hai sepolto.
500000|1|Il tuo cuore salta un battito.
750000|1|Al prossimo esame farai tutto giusto.
800000|2|Senti che il Santuario sta per essere potenziato.
825000|2|Stai considerando tutti gli XP che hai offerto...
850000|2|Perché il Gatto divino ha bisogno di XP?
875000|2|Ricordi il profumo di un limone fresco.
900000|2|Ti senti sopraffatto dall'amore.
950000|2|Il futuro è diventato un po' più chiaro.
1000000|2|Ora il tuo aspetto è più fotogenico.
1150000|2|Un senso di gioia ti travolge.
1250000|2|Presto la fortuna ti sorriderà.
1400000|2|Hai ottenuto il coraggio di combattere!
1500000|3|I tuoi sforzi non saranno sicuramente vani!
1600000|3|L'anno prossimo ce la metterai tutta!
1700000|3|Che cos'è la felicità, in fin dei conti?
1800000|3|Le tue capacità psichiche sono migliorate... forse.
1900000|3|Un neonato è appena venuto al mondo.
2500000|3|Un eroe ha raggiunto il suo primo livello.
3000000|3|Ricordi il viso del tuo primo amore.
4000000|3|I tuoi follower sono aumentati.
5000000|3|Il tuo spirito è cresciuto ancora...
7000000|3|Senti il bisogno di telefonare alla mamma...
9000000|4|Provi un improvviso bisogno di avventure.
9000000|4|Presto il mal di denti passerà.
9000000|4|Hai pensato a una nuova tattica di battaglia.
9000000|4|Hai fatto il primo passo per diventare grande.
9000000|4|Senti di poter spiccare il volo.
9000000|4|Chi aspetti arriverà presto.
9000000|4|Senti che il prossimo sorteggio sarà fortunato.
9000000|4|Presto sarai un maestro del doppio salto.
9000000|4|Ti è appena venuto in mente un pregevole haiku.
9000000|4|Riceverai un milione di dollari... prima o poi.
9000000|5|I tuoi beni crescono, crescono, CRESCONO!
9000000|5|Ti guida la determinazione.
9000000|5|Ti ricordi un profumo carico di nostalgia...
9000000|5|Il dolore al collo passerà presto.
9000000|5|Il lavoro fatto in palestra darà i suoi frutti.
9000000|5|La nuova acqua di colonia è perfetta per te.
9000000|5|Anche i tuoi vicini saranno benedetti.
9000000|5|Presto rinnoverai la fede nel genere felino.
9000000|5|I tuoi Gatti ti amano sempre di più.
9000000|5|Il tuo zio preferito avrà presto una promozione.
17060000|6|Ora il Santuario è maggiormente antisismico.
17120000|6|Si spera che domani vada meglio.
17180000|6|Hai trovato il peperone più gustoso.
17240000|6|Il tuo materasso profuma di un nuovo giorno.
17300000|6|Sei un po' fragile.
17360000|6|Hai trovato due tuorli nel tuo uovo.
17420000|6|Hai vinto un ghiacciolo.
17480000|6|Hai ottenuto delle caramelle da una signora anziana.
17540000|6|Ti dai una ritoccata.
17600000|6|Hai inventato un vero e proprio spaccaginocchia.
17660000|7|Raccolti i fondi per la riforma del tempio.
17720000|7|La biancheria si è asciugata in fretta.
17780000|7|Le zanzare ti staranno alla larga.
17840000|7|Ammiri l'arcobaleno dopo una pioggia passeggera.
17900000|7|Il vicino con il colpo della strega sta meglio.
17960000|7|Da qualche parte è nato un gattino.
18020000|7|Passioni giovanili si riaccendono.
18080000|7|Il tuo contorno preferito è scontato della metà.
18140000|7|Qualcuno ha trovato un quadrifoglio.
18200000|7|Hai ricordato una password dimenticata da tempo.
-1|8|Hai raggiunto un nuovo stato d'animo.
