트레저 페스티벌	#00acee
트레저 페스티벌 (세계편)	100
트레저 페스티벌 (미래편)	101
트레저 페스티벌 (우주편)	104
본능 구슬 이벤트	#864a2b
보물이 잠든 섬	24055
성 재료 이벤트	#374f8e
벽돌과 우주석의 동굴	1150
참숯과 수수께끼의 뼈의 섬	1151
깃털과 철 톱니바퀴와 황금의 곶	1152
냥코 티켓 이벤트	#ff6600
냥코 티켓 찬스	1006
역습의 하마양	1007
역습의 대갈이군	1078
육성 이벤트	#ff00ff
게릴라 경험치다냥!	1028
초 게릴라 경험치다냥!	1059
극 게릴라 경험치다냥!	1124
초극 게릴라 경험치다냥!	1155
초극악 게릴라 경험치다냥!	1319
종말의 배틀 그라운드	1250
진화 소재 이벤트	#008f03
진화의 고대 개다래 열매	1162
진화의 무지개 개다래 열매	1222
진화의 악마 개다래 열매	1274
개다래 챌린지	1118
진화의 무지개 수석	1326
게릴라 요일 스테이지	#82318e
게릴라 월요 스테이지	1073
게릴라 화요 스테이지	1074
게릴라 수요 스테이지	1075
게릴라 목요 스테이지	1076
게릴라 금요 스테이지	1077
초수 토벌 이벤트	#5f801f
가푸라 밀림	31000
비시니 사막	31001
르웨이 화산	31002
고양이 여왕의 악마 조사 이벤트	#3f7bd4
마법서가 가리키는 장소	1255
이계의 종	1256
고양이의 해방	1257
탱크 고양이의 해방	1258
데몬 파크	1265
배틀 고양이의 해방	1266
