＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
Wahre-Form-Entwicklung erhöht|Verteidigung, höhere Chance auf Haudrauf-|Angriffe und erhält Mini-Welle-Fähigkeit.|＠|Wahre-Form-Entwicklung erhöht|Verteidigung, höhere Chance auf Haudrauf-|Angriffe und erhält Mini-Welle-Fähigkeit.|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
