Angriff + %@: %@	Schaden gg. %@ erhöht.
Verteidigung + %@: %@	Schaden durch %@ gesenkt.
"Stark"-Effekt + %@: %@	"Stark"-Effekt verbessert gg. %@
Heftiger Schaden +%@: %@	Schaden verbessert gg. %@
„Stark“-Effekt + %@: %@	Resistenz gegen %@-Angriffe verbessert.
Mini-Todes-Zufallsangriff %@	Entfesselt bei Tod einen Mini-Zufallsang.<br>Nach je 2 Eins. verfügbar (nicht stapelbar).
Wellenschaden-Resistenz %@	Verringert Schaden durch feindl. Wellenang.
Skonto %@	Erstattet einen Teil der Einsatzkosten einer gefallenen Katze.<br>Nach je 2 Eins. verfügbar.
Rückstoß-Resistenz %@	Verringert den Effekt feindl. Rückst.-Angr.
Legenden-Level stärken %@	Ges. & Angr. in Legenden-Leveln erhöht (nicht stapelbar).
Kolosstöter %@	Fähigkeiten Kolosstöter nach je 2 Eins. verfügbar (nicht stapelbar).
