＠|＠|＠|						//「0」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 3|pour s’aventurer ici.|						//「1」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 6|pour s’aventurer ici.|						//「2」の時の解放文章
Rang joueur 600|et Gamatoto niv. 10 requis|pour s’aventurer ici.|						//「3」の時の解放文章
Rang joueur 900|et Gamatoto niv. 14 requis|pour s’aventurer ici.|						//「4」の時の解放文章
Rang joueur 1 600|et Gamatoto niv. 19 requis|pour s’aventurer ici.|						//「5」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 24|pour s’aventurer ici.|						//「6」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 30|pour s’aventurer ici.|						//「7」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 36|pour s’aventurer ici.|						//「8」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 43|pour s’aventurer ici.|						//「9」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 50|pour s’aventurer ici.|						//「10」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 58|pour s’aventurer ici.|						//「11」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 67|pour s’aventurer ici.|						//「12」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 72|pour s’aventurer ici.|						//「13」の時の解放文章
Les expéditions Gamatoto|doivent atteindre le niv. 83|pour s’aventurer ici.|						//「14」の時の解放文章
Pour s’aventurer ici,|GAMATOTO niveau 88|nécessaire.|//「15」の時の解放文章
Rang joueur 5 000|et Gamatoto niv. 50 requis|pour s’aventurer ici.|//「16」の時の解放文章
