			0	22	777	300	0
			0	22	300		
1	0		2				
2	0		3	50			
3	0		4				
4	0		5				
5	0		6				
6	0		7				
7	0		8				
8	0		9				
9	0		10	51			
10	0		11				
11	0		12				
12	0		13				
13	0		14				
14	16		100				
50	0		4				
51	0		8				
100	0		101	150			
101	0		102				
102	0		103				
103	0		104				
104	0		105				
105	0		106				
106	0		107				
107	0		108				
108	0		109				
109	0		110				
110	0		111				
111	0		112				
112	0		113				
113	0		114				
114	0		115				
115	0		116				
116	16		200				
150	0		151				
151	0		152	170			
152	0		153				
153	0		104				
170	0		171				
171	0		104				
200	0		201				
201	0		202	250			
202	0		203				
203	0		204	270			
204	0		205				
205	0		206				
206	0		207				
207	0		208				
208	0		209				
209	0		210				
210	0		211				
211	0		212				
212	0		213				
213	16		300				
250	0		251				
251	0		252				
252	0		260	253			
253	0		260	254			
254	0		255	260			
255	0		256				
256	0		257				
257	0		207				
260	0		0				
270	0		271				
271	0		272				
272	0		273				
273	0		274				
274	0		275				
275	0		206				
300	0		301				
301	0		302				
302	0		303				
303	0		304				
304	0		305				
305	0		306				
306	0		307	350			
307	0		308				
308	0		309				
309	0		310				
310	0		311				
311	0		312				
312	0		-2				
350	0		306
